Seed,Team,Record
1,Detroit Pistons,64-18
2,San Antonio Spurs,63-19
3,Dallas Mavericks,60-22
4,Phoenix Suns,54-28
5,Miami Heat,52-30
6,Cleveland Cavaliers,50-32
7,Memphis Grizzlies,49-33
8,New Jersey Nets,49-33
9,Los Angeles Clippers,47-35
10,Los Angeles Lakers,45-37
11,Denver Nuggets,44-38
12,Sacramento Kings,44-38
13,Washington Wizards,42-40
14,Chicago Bulls,41-41
15,Indiana Pacers,41-41
16,Utah Jazz,41-41
17,Milwaukee Bucks,40-42
18,New Orleans/Oklahoma City Hornets,38-44
19,Philadelphia 76ers,38-44
20,Orlando Magic,36-46
21,Seattle SuperSonics,35-47
22,Golden State Warriors,34-48
23,Houston Rockets,34-48
24,Boston Celtics,33-49
25,Minnesota Timberwolves,33-49
26,Toronto Raptors,27-55
27,Atlanta Hawks,26-56
28,Charlotte Bobcats,26-56
29,New York Knicks,23-59
30,Portland Trail Blazers,21-61
