Seed,Team,Record
1,Utah Jazz,52-20
2,Phoenix Suns,51-21
3,Philadelphia 76ers,49-23
4,Brooklyn Nets,48-24
5,Denver Nuggets,47-25
6,Los Angeles Clippers,47-25
7,Milwaukee Bucks,46-26
8,Dallas Mavericks,42-30
9,Los Angeles Lakers,42-30
10,Portland Trail Blazers,42-30
11,Atlanta Hawks,41-31
12,New York Knicks,41-31
13,Miami Heat,40-32
14,Golden State Warriors,39-33
15,Memphis Grizzlies,38-34
16,Boston Celtics,36-36
17,Washington Wizards,34-38
18,Indiana Pacers,34-38
19,Charlotte Hornets,33-39
20,San Antonio Spurs,33-39
21,Chicago Bulls,31-41
22,New Orleans Pelicans,31-41
23,Sacramento Kings,31-41
24,Toronto Raptors,27-45
25,Minnesota Timberwolves,23-49
26,Cleveland Cavaliers,22-50
27,Oklahoma City Thunder,22-50
28,Orlando Magic,21-51
29,Detroit Pistons,20-52
30,Houston Rockets,17-55
