Seed,Team,Record
1,Miami Heat,66-16
2,Oklahoma City Thunder,60-22
3,San Antonio Spurs,58-24
4,Denver Nuggets,57-25
5,Los Angeles Clippers,56-26
6,Memphis Grizzlies,56-26
7,New York Knicks,54-28
8,Brooklyn Nets,49-33
9,Indiana Pacers,49-32
10,Golden State Warriors,47-35
11,Chicago Bulls,45-37
12,Houston Rockets,45-37
13,Los Angeles Lakers,45-37
14,Atlanta Hawks,44-38
15,Utah Jazz,43-39
16,Boston Celtics,41-40
17,Dallas Mavericks,41-41
18,Milwaukee Bucks,38-44
19,Philadelphia 76ers,34-48
20,Toronto Raptors,34-48
21,Portland Trail Blazers,33-49
22,Minnesota Timberwolves,31-51
23,Detroit Pistons,29-53
24,Washington Wizards,29-53
25,Sacramento Kings,28-54
26,New Orleans Hornets,27-55
27,Phoenix Suns,25-57
28,Cleveland Cavaliers,24-58
29,Charlotte Bobcats,21-61
30,Orlando Magic,20-62
