Seed,Team,Record
1,Phoenix Suns,62-20
2,Miami Heat,59-23
3,San Antonio Spurs,59-23
4,Dallas Mavericks,58-24
5,Detroit Pistons,54-28
6,Seattle SuperSonics,52-30
7,Houston Rockets,51-31
8,Sacramento Kings,50-32
9,Denver Nuggets,49-33
10,Chicago Bulls,47-35
11,Boston Celtics,45-37
12,Memphis Grizzlies,45-37
13,Washington Wizards,45-37
14,Indiana Pacers,44-38
15,Minnesota Timberwolves,44-38
16,Philadelphia 76ers,43-39
17,New Jersey Nets,42-40
18,Cleveland Cavaliers,42-40
19,Los Angeles Clippers,37-45
20,Orlando Magic,36-46
21,Golden State Warriors,34-48
22,Los Angeles Lakers,34-48
23,New York Knicks,33-49
24,Toronto Raptors,33-49
25,Milwaukee Bucks,30-52
26,Portland Trail Blazers,27-55
27,Utah Jazz,26-56
28,Charlotte Bobcats,18-64
29,New Orleans Hornets,18-64
30,Atlanta Hawks,13-69
