Seed,Team,Record
1,Cleveland Cavaliers,61-21
2,Orlando Magic,59-23
3,Los Angeles Lakers,57-25
4,Dallas Mavericks,55-27
5,Phoenix Suns,54-28
6,Atlanta Hawks,53-29
7,Denver Nuggets,53-29
8,Utah Jazz,53-29
9,Boston Celtics,50-32
10,Oklahoma City Thunder,50-32
11,Portland Trail Blazers,50-32
12,San Antonio Spurs,50-32
13,Miami Heat,47-35
14,Milwaukee Bucks,46-36
15,Charlotte Bobcats,44-38
16,Houston Rockets,42-40
17,Chicago Bulls,41-41
18,Memphis Grizzlies,40-42
19,Toronto Raptors,40-42
20,New Orleans Hornets,37-45
21,Indiana Pacers,32-50
22,Los Angeles Clippers,29-53
23,New York Knicks,29-53
24,Detroit Pistons,27-55
25,Philadelphia 76ers,27-55
26,Golden State Warriors,26-56
27,Washington Wizards,26-56
28,Sacramento Kings,25-57
29,Minnesota Timberwolves,15-67
30,New Jersey Nets,12-70
