Seed,Team,Record
1,Milwaukee Bucks,60-22
2,Toronto Raptors,58-24
3,Golden State Warriors,57-25
4,Denver Nuggets,54-28
5,Houston Rockets,53-29
6,Portland Trail Blazers,53-29
7,Philadelphia 76ers,51-31
8,Utah Jazz,50-32
9,Boston Celtics,49-33
10,Oklahoma City Thunder,49-33
11,Indiana Pacers,48-34
12,Los Angeles Clippers,48-34
13,San Antonio Spurs,48-34
14,Brooklyn Nets,42-40
15,Orlando Magic,42-40
16,Detroit Pistons,41-41
17,Charlotte Hornets,39-43
18,Miami Heat,39-43
19,Sacramento Kings,39-43
20,Los Angeles Lakers,37-45
21,Minnesota Timberwolves,36-46
22,Dallas Mavericks,33-49
23,Memphis Grizzlies,33-49
24,New Orleans Pelicans,33-49
25,Washington Wizards,32-50
26,Atlanta Hawks,29-53
27,Chicago Bulls,22-60
28,Cleveland Cavaliers,19-63
29,Phoenix Suns,19-63
30,New York Knicks,17-65
