Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim\abdursh01,PF,28,POR,54,49,1867,337,670,.503,15,39,.385,322,631,.510,.514,220,254,.866,123,269,392,111,49,26,117,150,909
2,Cory Alexander\alexaco01,SG,31,CHA,16,1,201,16,49,.327,8,19,.421,8,30,.267,.408,9,12,.750,8,21,29,37,9,1,19,29,49
3,Malik Allen\allenma01,PF,26,TOT,36,1,519,84,177,.475,0,0,,84,177,.475,.475,26,28,.929,40,59,99,18,9,22,18,53,194
3,Malik Allen\allenma01,PF,26,MIA,14,0,248,35,76,.461,0,0,,35,76,.461,.461,13,14,.929,24,28,52,11,4,11,11,29,83
3,Malik Allen\allenma01,PF,26,CHA,22,1,271,49,101,.485,0,0,,49,101,.485,.485,13,14,.929,16,31,47,7,5,11,7,24,111
4,Ray Allen*\allenra02,SG,29,SEA,78,78,3064,640,1494,.428,209,556,.376,431,938,.459,.498,378,428,.883,79,268,347,289,84,5,171,167,1867
5,Tony Allen\allento01,SG,23,BOS,77,34,1262,184,387,.475,12,31,.387,172,356,.483,.491,112,152,.737,85,136,221,64,76,24,77,156,492
6,Rafer Alston\alstora01,PG,28,TOR,80,78,2717,403,974,.414,139,389,.357,264,585,.451,.485,191,258,.740,42,237,279,514,118,7,170,212,1136
7,Chris Andersen\anderch01,C,26,NOH,67,2,1430,191,358,.534,0,3,.000,191,355,.538,.534,131,190,.689,137,273,410,71,14,100,64,144,513
8,Derek Anderson\anderde01,SG,30,POR,47,32,1239,152,391,.389,58,151,.384,94,240,.392,.463,70,87,.805,25,103,128,143,36,4,70,89,432
9,Kenny Anderson\anderke01,PG,34,TOT,43,20,743,85,201,.423,6,13,.462,79,188,.420,.438,27,37,.730,24,64,88,103,33,0,49,87,203
9,Kenny Anderson\anderke01,PG,34,ATL,39,20,717,81,190,.426,6,13,.462,75,177,.424,.442,27,37,.730,23,60,83,98,33,0,46,81,195
9,Kenny Anderson\anderke01,PG,34,LAC,4,0,26,4,11,.364,0,0,,4,11,.364,.364,0,0,,1,4,5,5,0,0,3,6,8
10,Shandon Anderson\andersh01,SF-SG,31,TOT,66,5,1171,98,217,.452,5,29,.172,93,188,.495,.463,54,66,.818,41,150,191,70,40,14,50,138,255
10,Shandon Anderson\andersh01,SG,31,NYK,1,0,20,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,1,0,1,0,0,0,1,2,0
10,Shandon Anderson\andersh01,SF,31,MIA,65,5,1151,98,215,.456,5,28,.179,93,187,.497,.467,54,66,.818,40,150,190,70,40,14,49,136,255
11,Carmelo Anthony\anthoca01,SF,20,DEN,75,75,2608,530,1230,.431,42,158,.266,488,1072,.455,.448,456,573,.796,141,285,426,194,68,30,224,229,1558
12,Rafael Araújo\araujra01,C,24,TOR,59,41,736,76,175,.434,1,3,.333,75,172,.436,.437,43,55,.782,59,126,185,16,21,8,52,157,196
13,Gilbert Arenas\arenagi01,PG,23,WAS,80,80,3274,656,1523,.431,205,562,.365,451,961,.469,.498,521,640,.814,83,295,378,411,139,23,242,245,2038
14,Trevor Ariza\arizatr01,SF,19,NYK,80,12,1382,172,389,.442,3,13,.231,169,376,.449,.446,121,174,.695,89,153,242,85,70,18,73,150,468
15,Darrell Armstrong\armstda01,PG,36,TOT,66,16,988,89,277,.321,28,111,.252,61,166,.367,.372,58,68,.853,35,80,115,178,45,8,67,92,264
15,Darrell Armstrong\armstda01,PG,36,NOH,14,9,412,53,159,.333,17,70,.243,36,89,.404,.387,19,21,.905,16,32,48,65,15,2,28,30,142
15,Darrell Armstrong\armstda01,PG,36,DAL,52,7,576,36,118,.305,11,41,.268,25,77,.325,.352,39,47,.830,19,48,67,113,30,6,39,62,122
16,Carlos Arroyo\arroyca01,PG,25,TOT,70,16,1448,167,429,.389,8,30,.267,159,399,.398,.399,119,149,.799,26,78,104,280,44,4,107,143,461
16,Carlos Arroyo\arroyca01,PG,25,UTA,30,16,742,93,232,.401,7,18,.389,86,214,.402,.416,53,63,.841,11,35,46,152,20,3,55,67,246
16,Carlos Arroyo\arroyca01,PG,25,DET,40,0,706,74,197,.376,1,12,.083,73,185,.395,.378,66,86,.767,15,43,58,128,24,1,52,76,215
17,Chucky Atkins\atkinch01,PG,30,LAL,82,82,2903,388,910,.426,176,455,.387,212,455,.466,.523,163,203,.803,31,166,197,358,73,2,151,181,1115
18,Stacey Augmon\augmost01,SF,36,ORL,55,7,663,68,167,.407,0,0,,68,167,.407,.407,57,77,.740,45,54,99,36,23,8,31,83,193
19,Maurice Baker\bakerma01,PG,25,TOT,5,0,19,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,1,2,1,1,0,1,3,0
19,Maurice Baker\bakerma01,PG,25,LAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
19,Maurice Baker\bakerma01,PG,25,POR,4,0,18,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,1,2,1,1,0,1,3,0
20,Vin Baker\bakervi01,PF-C,33,TOT,27,0,204,13,42,.310,0,1,.000,13,41,.317,.310,9,17,.529,17,22,39,10,2,4,17,38,35
20,Vin Baker\bakervi01,PF,33,NYK,24,0,191,13,38,.342,0,1,.000,13,37,.351,.342,7,15,.467,17,20,37,9,2,4,15,31,33
20,Vin Baker\bakervi01,C,33,HOU,3,0,13,0,4,.000,0,0,,0,4,.000,.000,2,2,1.000,0,2,2,1,0,0,2,7,2
21,Marcus Banks\banksma01,PG,23,BOS,81,2,1145,115,286,.402,21,59,.356,94,227,.414,.439,121,163,.742,29,97,126,155,63,13,79,146,372
22,Leandro Barbosa\barbole01,PG,22,PHO,63,6,1087,168,354,.475,51,139,.367,117,215,.544,.547,55,69,.797,32,98,130,126,30,7,87,127,442
23,Matt Barnes\barnema02,SF,24,SAC,43,9,715,62,151,.411,5,22,.227,57,129,.442,.427,35,58,.603,49,84,133,57,30,7,45,80,164
24,Andre Barrett\barrean01,PG,22,TOT,38,1,483,45,124,.363,14,52,.269,31,72,.431,.419,14,19,.737,11,29,40,69,19,1,27,51,118
24,Andre Barrett\barrean01,PG,22,HOU,27,0,314,20,69,.290,9,37,.243,11,32,.344,.355,7,10,.700,5,14,19,42,14,0,16,35,56
24,Andre Barrett\barrean01,PG,22,ORL,11,1,169,25,55,.455,5,15,.333,20,40,.500,.500,7,9,.778,6,15,21,27,5,1,11,16,62
25,Brent Barry\barrybr01,SG,33,SAS,81,8,1742,194,459,.423,100,280,.357,94,179,.525,.532,113,135,.837,29,161,190,178,39,20,64,123,601
26,Jon Barry\barryjo01,SG,35,TOT,69,2,1505,161,368,.438,71,165,.430,90,203,.443,.534,62,71,.873,26,133,159,167,60,9,67,95,455
26,Jon Barry\barryjo01,SG,35,ATL,16,0,275,31,77,.403,11,32,.344,20,45,.444,.474,10,13,.769,4,17,21,28,14,2,14,28,83
26,Jon Barry\barryjo01,SG,35,HOU,53,2,1230,130,291,.447,60,133,.451,70,158,.443,.550,52,58,.897,22,116,138,139,46,7,53,67,372
27,Tony Battie\battito01,C,28,ORL,81,32,1894,163,354,.460,0,6,.000,163,348,.468,.460,68,94,.723,109,343,452,42,30,81,81,244,394
28,Shane Battier\battish01,SG,26,MEM,80,72,2516,271,613,.442,70,177,.395,201,436,.461,.499,180,228,.789,158,255,413,126,91,77,75,201,792
29,Lonny Baxter\baxtelo01,PF,26,NOH,4,0,36,3,11,.273,0,0,,3,11,.273,.273,0,2,.000,4,4,8,0,0,0,4,10,6
30,Raja Bell\bellra01,SG,28,UTA,63,32,1790,303,667,.454,54,134,.403,249,533,.467,.495,112,150,.747,48,153,201,91,44,8,79,205,772
31,Jonathan Bender\bendejo01,SF,24,IND,7,0,93,16,40,.400,1,5,.200,15,35,.429,.413,3,6,.500,5,9,14,4,1,2,10,9,36
32,Travis Best\besttr01,PG,32,NJN,76,6,1461,190,452,.420,26,85,.306,164,367,.447,.449,108,122,.885,19,88,107,143,66,9,67,148,514
33,Mike Bibby\bibbymi01,PG,26,SAC,80,80,3084,560,1264,.443,131,364,.360,429,900,.477,.495,320,413,.775,77,255,332,541,124,30,203,191,1571
34,Andris Biedriņš\biedran01,C,18,GSW,30,1,384,45,78,.577,0,1,.000,45,77,.584,.577,19,40,.475,47,71,118,12,12,24,12,87,109
35,Chauncey Billups\billuch01,PG,28,DET,80,80,2866,404,913,.442,165,387,.426,239,526,.454,.533,343,382,.898,48,223,271,464,81,9,180,194,1316
36,Steve Blake\blakest01,PG,24,WAS,44,1,648,61,186,.328,36,93,.387,25,93,.269,.425,33,41,.805,18,53,71,69,13,0,39,47,191
37,Mark Blount\blounma01,C,29,BOS,82,57,2130,327,618,.529,0,1,.000,327,617,.530,.529,117,164,.713,143,254,397,129,33,64,158,229,771
38,Tony Bobbitt\bobbito01,SG,25,LAL,2,0,12,2,5,.400,1,2,.500,1,3,.333,.500,0,0,,0,3,3,0,0,0,0,1,5
39,Keith Bogans\boganke01,SG,24,CHA,74,42,1791,262,688,.381,57,173,.329,205,515,.398,.422,133,183,.727,76,150,226,135,68,8,122,167,714
40,Matt Bonner\bonnema01,C,24,TOR,82,0,1553,247,463,.533,39,92,.424,208,371,.561,.576,56,71,.789,108,177,285,48,39,19,40,220,589
41,Calvin Booth\boothca01,C,28,TOT,51,1,451,49,108,.454,0,1,.000,49,107,.458,.454,26,32,.813,29,78,107,8,15,28,16,78,124
41,Calvin Booth\boothca01,C,28,DAL,34,1,262,34,79,.430,0,1,.000,34,78,.436,.430,14,16,.875,16,42,58,4,11,16,8,55,82
41,Calvin Booth\boothca01,C,28,MIL,17,0,189,15,29,.517,0,0,,15,29,.517,.517,12,16,.750,13,36,49,4,4,12,8,23,42
42,Carlos Boozer\boozeca01,PF,23,UTA,51,51,1772,361,693,.521,0,1,.000,361,692,.522,.521,187,268,.698,141,316,457,144,41,24,137,179,909
