Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Shareef Abdur-Rahim\abdursh01,PF,27,TOT,85,2684,19.9,.557,.032,.407,8.2,19.0,13.6,12.3,1.4,1.0,12.9,24.4,,6.1,2.0,8.1,.145,,2.3,-0.7,1.6,2.4
1,Shareef Abdur-Rahim\abdursh01,PF,27,ATL,53,1956,21.2,.568,.029,.423,8.2,20.3,14.3,12.6,1.2,0.7,12.3,24.8,,5.3,1.3,6.6,.163,,3.3,-1.0,2.3,2.1
1,Shareef Abdur-Rahim\abdursh01,PF,27,POR,32,728,16.5,.522,.042,.360,7.9,15.5,11.8,11.5,1.8,1.8,14.8,23.3,,0.9,0.6,1.5,.098,,-0.4,0.0,-0.4,0.3
2,Malik Allen\allenma01,PF,25,MIA,45,616,10.5,.449,.000,.167,7.9,14.7,11.3,4.7,1.1,3.6,11.3,18.3,,-0.1,0.8,0.7,.051,,-3.7,-0.1,-3.8,-0.3
3,Ray Allen*\allenra02,SG,28,SEA,56,2152,21.7,.566,.372,.266,3.8,11.8,7.8,23.3,1.8,0.4,12.1,27.8,,6.5,0.4,6.9,.153,,5.5,-1.5,4.0,3.2
4,Rafer Alston\alstora01,PG,27,MIA,82,2581,13.7,.509,.568,.175,1.2,9.1,5.1,24.9,2.4,0.6,13.5,17.3,,3.1,2.8,5.9,.110,,0.2,0.7,0.9,1.9
5,Chris Andersen\anderch01,PF,25,DEN,71,1029,14.4,.486,.005,.527,9.6,23.3,16.3,5.1,1.7,7.8,16.1,12.7,,0.5,1.9,2.4,.111,,-2.2,2.7,0.4,0.6
6,Derek Anderson\anderde01,SG,29,POR,51,1810,15.1,.499,.423,.307,1.7,10.2,6.0,21.1,2.0,0.1,11.5,20.5,,2.7,0.9,3.6,.097,,0.8,-0.5,0.3,1.0
7,Kenny Anderson\anderke01,PG,33,IND,44,905,11.1,.473,.016,.188,2.5,8.2,5.3,24.2,1.6,0.4,15.3,17.1,,0.4,1.1,1.5,.079,,-2.3,0.6,-1.7,0.1
8,Shandon Anderson\andersh01,SG,30,NYK,80,1974,10.1,.500,.227,.285,3.1,9.7,6.5,10.2,1.8,0.7,15.7,17.7,,0.2,1.5,1.7,.042,,-2.4,0.1,-2.4,-0.2
9,Carmelo Anthony\anthoca01,SF,19,DEN,82,2995,17.6,.509,.146,.358,6.8,12.1,9.4,13.8,1.7,1.0,12.7,28.5,,3.7,2.4,6.1,.098,,1.6,-1.6,0.1,1.6
10,Robert Archibald\archiro01,C-PF,23,TOT,32,256,5.6,.343,.000,.939,9.4,14.0,11.7,7.9,3.0,0.9,17.7,10.7,,-0.2,0.4,0.2,.039,,-6.7,2.2,-4.5,-0.1
10,Robert Archibald\archiro01,PF,23,PHO,1,6,-5.1,.266,.000,2.000,0.0,19.1,9.5,22.2,0.0,0.0,34.7,21.7,,0.0,0.0,0.0,-0.285,,-11.1,-2.0,-13.2,0.0
10,Robert Archibald\archiro01,PF,23,ORL,1,4,20.6,.347,.000,1.000,0.0,29.0,14.2,0.0,13.2,0.0,0.0,32.6,,0.0,0.0,0.0,-0.080,,0.1,5.5,5.6,0.0
10,Robert Archibald\archiro01,C,23,TOR,30,246,5.6,.346,.000,.900,9.8,13.6,11.7,7.7,2.9,0.9,17.7,10.0,,-0.2,0.4,0.2,.049,,-6.7,2.3,-4.4,-0.1
11,Gilbert Arenas\arenagi01,PG,22,WAS,55,2066,16.0,.512,.364,.347,2.9,11.1,6.9,25.5,2.6,0.4,17.7,27.4,,1.1,1.5,2.6,.061,,1.1,-1.0,0.1,1.1
12,Brandon Armstrong\armstbr01,SG,23,NJN,56,434,5.5,.427,.297,.023,3.3,8.4,5.8,5.7,1.5,0.4,12.0,21.7,,-0.8,0.5,-0.3,-0.030,,-5.5,-2.0,-7.5,-0.6
13,Darrell Armstrong\armstda01,PG,35,NOH,79,2247,15.6,.525,.583,.196,3.1,8.5,5.7,24.3,3.2,0.5,16.2,19.4,,2.8,2.5,5.3,.114,,1.3,1.1,2.4,2.5
14,Carlos Arroyo\arroyca01,PG,24,UTA,71,2008,16.8,.517,.152,.293,2.5,9.0,5.7,34.6,1.7,0.2,15.2,23.7,,3.5,1.2,4.7,.112,,2.0,-1.1,0.9,1.5
15,Chucky Atkins\atkinch01,PG,29,TOT,64,1544,12.1,.511,.498,.200,0.7,6.2,3.5,24.7,1.5,0.1,14.9,18.5,,1.5,1.3,2.7,.085,,-0.3,-0.9,-1.1,0.3
15,Chucky Atkins\atkinch01,PG,29,DET,40,751,10.1,.490,.553,.183,0.9,6.4,3.7,21.9,1.4,0.1,15.9,18.8,,0.3,1.0,1.2,.079,,-1.3,-0.3,-1.6,0.1
15,Chucky Atkins\atkinch01,PG,29,BOS,24,793,14.0,.530,.446,.217,0.4,5.9,3.2,27.3,1.7,0.1,13.9,18.2,,1.2,0.3,1.5,.091,,0.7,-1.4,-0.7,0.3
16,Stacey Augmon\augmost01,SF,35,NOH,69,1416,10.0,.486,.020,.401,4.1,10.1,7.0,10.0,2.1,0.8,15.7,15.6,,0.4,1.3,1.6,.056,,-3.1,0.3,-2.8,-0.3
17,Vin Baker\bakervi01,PF,32,TOT,54,1313,14.8,.530,.007,.363,10.0,14.4,12.2,9.0,1.1,1.9,13.3,20.1,,1.7,1.1,2.8,.101,,-1.0,-1.1,-2.1,0.0
17,Vin Baker\bakervi01,PF,32,BOS,37,1000,16.1,.547,.003,.336,8.9,15.0,12.0,9.8,1.1,1.8,12.0,19.7,,1.7,0.8,2.5,.119,,0.1,-1.0,-0.8,0.3
17,Vin Baker\bakervi01,PF,32,NYK,17,313,10.5,.476,.020,.455,13.5,12.4,12.9,6.4,1.2,2.2,17.4,21.3,,0.0,0.3,0.3,.043,,-4.5,-1.7,-6.2,-0.3
18,Marcus Banks\banksma01,PG,22,BOS,81,1385,11.0,.480,.195,.296,2.5,8.4,5.5,21.3,3.3,0.7,20.0,20.5,,-0.6,1.4,0.7,.026,,-3.4,0.4,-3.0,-0.4
19,Leandro Barbosa\barbole01,PG,21,PHO,70,1500,12.7,.553,.447,.130,1.7,7.6,4.7,18.0,3.2,0.3,19.5,18.6,,0.9,1.0,1.9,.061,,-1.3,0.5,-0.8,0.5
20,Matt Barnes\barnema02,SF,23,LAC,38,724,10.6,.519,.094,.442,8.3,15.5,11.9,10.6,2.0,0.3,21.1,12.8,,0.4,0.3,0.7,.045,,-1.4,-0.7,-2.2,0.0
21,Dana Barros\barroda01,SG,36,BOS,1,11,17.8,.773,.000,.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,0.1,0.0,0.1,.256,,-1.7,-4.7,-6.4,0.0
22,Brent Barry\barrybr01,SG,32,SEA,59,1803,18.3,.668,.590,.258,1.4,11.9,6.7,30.5,2.5,0.7,22.6,15.8,,4.9,0.7,5.7,.151,,3.2,0.1,3.2,2.4
23,Jon Barry\barryjo01,SG,34,DEN,57,1101,14.6,.535,.465,.239,2.5,10.2,6.3,20.6,2.7,0.5,13.9,15.2,,1.7,1.1,2.8,.122,,0.8,1.2,2.0,1.1
24,Mengke Bateer\bateeme01,C,28,TOR,7,40,7.2,.571,.000,.000,14.3,8.7,11.5,4.4,1.4,0.0,22.2,10.9,,0.0,0.0,0.1,.090,,-5.6,0.3,-5.3,0.0
25,Tony Battie\battito01,C,27,TOT,73,1478,11.9,.482,.023,.232,9.0,18.1,13.6,6.4,0.9,3.3,13.0,14.8,,0.8,1.4,2.3,.074,,-2.2,-0.1,-2.4,-0.1
25,Tony Battie\battito01,C,27,BOS,23,501,11.7,.517,.009,.282,9.1,17.7,13.5,6.9,0.8,3.1,15.4,14.1,,0.4,0.5,0.8,.081,,-2.1,-0.4,-2.4,-0.1
25,Tony Battie\battito01,C,27,CLE,50,977,12.0,.466,.030,.210,8.9,18.3,13.6,6.1,1.0,3.4,11.8,15.2,,0.4,1.0,1.4,.070,,-2.3,0.0,-2.3,-0.1
26,Shane Battier\battish01,SF,25,MEM,79,1947,15.3,.544,.343,.302,5.9,11.8,8.8,8.4,2.7,2.2,8.3,15.5,,3.5,2.3,5.9,.145,,1.1,1.5,2.6,2.3
27,Lonny Baxter\baxtelo01,C-PF,25,TOT,62,766,12.6,.518,.014,.364,9.4,18.5,13.9,4.8,1.2,2.8,13.6,17.2,,0.5,1.0,1.5,.094,,-3.3,0.1,-3.2,-0.2
27,Lonny Baxter\baxtelo01,PF,25,CHI,14,147,12.4,.571,.020,.163,8.0,18.3,13.0,6.5,0.4,3.0,17.3,19.3,,0.1,0.1,0.2,.070,,-4.0,-0.7,-4.7,-0.1
27,Lonny Baxter\baxtelo01,C,25,TOR,36,487,12.6,.491,.008,.438,9.9,18.8,14.3,3.8,1.6,2.7,12.6,17.4,,0.2,0.8,1.0,.095,,-3.5,0.3,-3.1,-0.1
27,Lonny Baxter\baxtelo01,PF,25,WAS,12,132,12.9,.550,.031,.375,9.1,17.5,13.2,6.6,0.8,2.7,11.8,14.2,,0.2,0.1,0.3,.116,,-1.9,0.0,-1.9,0.0
28,Jerome Beasley\beaslje01,PF,23,MIA,2,5,5.9,.333,.000,.000,0.0,23.6,11.7,0.0,0.0,0.0,0.0,28.2,,0.0,0.0,0.0,-0.117,,-1.8,-3.4,-5.2,0.0
29,Raja Bell\bellra01,SG,27,UTA,82,2020,12.7,.500,.206,.308,3.6,11.3,7.4,10.2,1.7,0.5,10.8,23.6,,2.2,1.5,3.7,.088,,-1.2,-0.8,-2.0,0.0
30,Troy Bell\belltr01,PG,23,MEM,6,34,-4.5,.285,.222,.167,9.9,3.4,6.6,18.7,1.5,0.0,23.7,33.5,,-0.2,0.0,-0.2,-0.326,,-13.0,-6.5,-19.6,-0.2
31,Jonathan Bender\bendejo01,SF,23,IND,21,271,15.7,.584,.208,.443,3.9,13.7,8.7,6.5,1.0,3.1,20.7,27.8,,0.1,0.4,0.5,.087,,-0.8,-0.7,-1.5,0.0
32,Travis Best\besttr01,PG,31,DAL,61,762,10.1,.445,.116,.267,2.4,7.5,4.9,19.5,2.1,0.4,14.7,12.9,,0.5,0.2,0.7,.044,,-2.8,-0.2,-3.0,-0.2
33,Mike Bibby\bibbymi01,PG,25,SAC,82,2980,19.3,.564,.323,.319,2.6,7.8,5.3,24.5,1.9,0.4,11.6,22.9,,8.0,1.3,9.3,.151,,3.4,-1.0,2.4,3.3
34,Chauncey Billups\billuch01,PG,27,DET,78,2758,18.6,.550,.336,.462,1.5,10.0,5.8,29.3,1.7,0.2,13.6,23.5,,7.1,4.2,11.3,.198,,3.1,0.5,3.6,3.9
35,Steve Blake\blakest01,PG,23,WAS,75,1392,10.9,.509,.496,.165,1.4,8.2,4.7,25.8,2.1,0.4,22.7,17.9,,0.1,0.7,0.7,.026,,-1.5,-1.2,-2.7,-0.2
36,Corie Blount\blounco01,PF-C,35,TOT,62,1050,11.9,.462,.012,.107,10.1,19.1,14.5,9.0,2.5,1.7,14.0,13.3,,0.3,1.6,1.9,.085,,-2.5,1.0,-1.4,0.1
36,Corie Blount\blounco01,PF,35,CHI,46,756,13.9,.478,.015,.117,10.7,19.3,14.9,10.3,2.6,1.9,13.9,14.9,,0.3,1.1,1.4,.091,,-1.5,1.0,-0.5,0.3
36,Corie Blount\blounco01,C,35,TOR,16,294,6.9,.393,.000,.064,8.6,18.5,13.5,5.6,2.1,1.2,14.2,9.3,,-0.1,0.5,0.4,.069,,-5.0,1.3,-3.8,-0.1
37,Mark Blount\blounma01,C,28,BOS,82,2402,16.0,.601,.000,.366,10.1,17.9,14.0,5.4,1.7,3.4,17.6,16.1,,3.7,2.9,6.5,.131,,-0.6,0.1,-0.5,0.9
38,Keith Bogans\boganke01,SF,23,ORL,73,1787,11.0,.499,.412,.227,6.6,13.7,10.1,8.7,1.4,0.4,13.1,14.5,,1.3,0.0,1.3,.034,,-0.5,-2.0,-2.4,-0.2
39,Calvin Booth\boothca01,C,27,SEA,71,1206,13.6,.521,.007,.324,8.5,18.8,13.7,3.7,0.8,6.3,12.0,14.4,,1.3,0.9,2.2,.088,,-2.2,0.3,-1.8,0.0
40,Carlos Boozer\boozeca01,PF,22,CLE,75,2592,20.8,.567,.007,.317,9.8,26.8,18.3,10.3,1.5,1.5,11.6,20.0,,6.1,3.4,9.4,.174,,2.4,-0.2,2.1,2.7
41,Curtis Borchardt\borchcu01,C,23,UTA,16,258,7.9,.454,.018,.321,6.2,20.0,13.0,9.8,0.9,4.6,22.0,14.8,,-0.2,0.3,0.1,.026,,-4.4,1.4,-3.0,-0.1
42,Chris Bosh*\boshch01,C,19,TOR,75,2510,15.1,.513,.020,.404,8.7,16.9,12.8,5.8,1.3,3.1,11.3,18.3,,2.5,3.8,6.2,.119,,-1.2,0.5,-0.8,0.8
43,Ruben Boumtje-Boumtje\boumtru01,C,25,POR,9,26,3.4,.340,.000,.400,0.0,4.5,2.3,5.6,0.0,2.9,0.0,10.7,,0.0,0.0,0.0,-0.014,,-4.4,-1.4,-5.8,0.0
44,Bruce Bowen\bowenbr01,SF,32,SAS,82,2624,8.2,.512,.422,.227,1.9,8.8,5.4,6.7,1.7,0.9,14.0,11.3,,0.8,4.6,5.4,.098,,-2.6,2.2,-0.5,1.0
45,Ryan Bowen\bowenry01,PF,28,DEN,52,392,9.9,.395,.000,.226,11.1,14.0,12.5,6.4,2.4,2.9,9.3,7.2,,0.3,0.5,0.8,.097,,-2.1,1.8,-0.3,0.2
46,Earl Boykins\boykiea01,SG,27,DEN,82,1849,16.2,.501,.223,.211,2.5,6.3,4.4,27.3,1.4,0.1,10.7,22.2,,3.3,0.8,4.1,.105,,2.0,-1.5,0.5,1.2
47,Michael Bradley\bradlmi01,C-PF,24,TOT,16,98,4.1,.472,.000,.133,7.0,19.8,13.4,1.6,1.6,0.0,30.6,10.8,,-0.1,0.1,0.0,-0.015,,-7.6,-2.3,-9.9,-0.2
47,Michael Bradley\bradlmi01,PF,24,TOR,5,38,1.3,.387,.000,.667,3.0,30.5,16.7,4.1,1.5,0.0,43.6,8.8,,-0.1,0.1,0.0,-0.020,,-9.3,0.7,-8.6,-0.1
47,Michael Bradley\bradlmi01,C,24,ATL,11,60,5.8,.500,.000,.000,9.5,13.1,11.3,0.0,1.8,0.0,25.0,12.1,,0.0,0.0,0.0,-0.012,,-6.5,-4.1,-10.7,-0.1
48,Shawn Bradley\bradlsh01,C,31,DAL,66,773,15.6,.523,.005,.261,9.9,14.6,12.2,3.6,2.2,7.1,7.5,12.8,,1.5,0.9,2.3,.145,,-1.5,1.6,0.1,0.4
49,Torraye Braggs\braggto01,PF,27,TOT,15,154,9.5,.522,.000,.364,14.3,15.3,14.9,7.8,1.4,1.0,25.4,15.8,,0.0,0.2,0.2,.070,,-4.7,0.7,-4.0,-0.1
49,Torraye Braggs\braggto01,PF,27,HOU,11,132,9.8,.511,.000,.429,14.2,16.1,15.2,7.7,1.7,1.2,26.5,16.4,,0.0,0.2,0.2,.066,,-4.4,1.2,-3.3,0.0
49,Torraye Braggs\braggto01,PF,27,WAS,4,22,7.7,.600,.000,.000,14.9,10.5,12.7,8.1,0.0,0.0,16.7,12.1,,0.0,0.0,0.0,.094,,-6.7,-1.9,-8.6,0.0
50,Elton Brand\brandel01,PF,24,LAC,69,2670,23.2,.567,.001,.542,11.4,19.1,15.2,16.0,1.3,4.2,13.7,23.4,,7.9,1.8,9.7,.174,,4.0,0.0,4.0,4.0
51,J.R. Bremer\bremejr01,PG,23,TOT,36,443,6.2,.354,.468,.127,2.3,6.7,4.5,18.1,2.1,0.6,12.6,19.4,,-0.7,0.3,-0.5,-0.053,,-4.3,-0.9,-5.2,-0.4
51,J.R. Bremer\bremejr01,PG,23,CLE,31,403,7.1,.377,.482,.146,1.9,7.1,4.5,15.1,2.4,0.7,11.5,18.3,,-0.5,0.3,-0.2,-0.025,,-3.9,-0.3,-4.2,-0.2
51,J.R. Bremer\bremejr01,PG,23,GSW,5,40,-3.5,.190,.381,.000,5.6,2.8,4.2,48.1,0.0,0.0,19.2,30.0,,-0.3,0.0,-0.3,-0.340,,-8.6,-6.9,-15.4,-0.1
52,Jamison Brewer\breweja01,PG,23,IND,13,160,6.6,.425,.400,.171,1.5,6.7,4.1,17.3,2.4,0.0,21.0,14.1,,-0.2,0.2,0.0,.014,,-3.3,1.8,-1.5,0.0
53,Primož Brezec\brezepr01,C,24,IND,18,72,9.7,.489,.000,.231,8.1,16.6,12.3,7.9,0.0,3.2,17.3,22.7,,0.0,0.1,0.1,.040,,-5.1,0.0,-5.1,-0.1
54,Damone Brown\brownda02,PF,24,NJN,3,17,-4.3,.138,.000,.200,20.9,13.9,17.4,0.0,6.3,0.0,8.4,32.8,,-0.2,0.0,-0.1,-0.345,,-10.9,-4.7,-15.7,-0.1
55,Devin Brown\brownde02,SG,25,SAS,58,627,13.1,.512,.071,.378,6.9,16.2,11.6,9.0,1.3,0.5,14.3,19.7,,0.5,1.2,1.7,.133,,-1.9,0.6,-1.4,0.1
56,Kedrick Brown\brownke01,SF,22,TOT,55,969,12.5,.543,.390,.106,4.8,12.1,8.5,10.8,1.6,0.5,9.8,13.7,,1.4,0.6,2.0,.100,,0.3,0.2,0.5,0.6
56,Kedrick Brown\brownke01,SF,22,BOS,21,408,11.7,.525,.323,.131,5.2,13.8,9.5,10.0,2.1,0.4,10.3,13.0,,0.5,0.4,0.8,.097,,-0.3,0.5,0.2,0.2
56,Kedrick Brown\brownke01,SF,22,CLE,34,561,13.0,.555,.432,.090,4.5,10.8,7.7,11.4,1.2,0.6,9.5,14.2,,0.9,0.3,1.2,.103,,0.8,-0.1,0.6,0.4
