Seed,Team,Record
1,Cleveland Cavaliers,66-16
2,Los Angeles Lakers,65-17
3,Boston Celtics,62-20
4,Orlando Magic,59-23
5,Denver Nuggets,54-28
6,Portland Trail Blazers,54-28
7,San Antonio Spurs,54-28
8,Houston Rockets,53-29
9,Dallas Mavericks,50-32
10,New Orleans Hornets,49-33
11,Utah Jazz,48-34
12,Atlanta Hawks,47-35
13,Phoenix Suns,46-36
14,Miami Heat,43-39
15,Chicago Bulls,41-41
16,Philadelphia 76ers,41-41
17,Detroit Pistons,39-43
18,Indiana Pacers,36-46
19,Charlotte Bobcats,35-47
20,Milwaukee Bucks,34-48
21,New Jersey Nets,34-48
22,Toronto Raptors,33-49
23,New York Knicks,32-50
24,Golden State Warriors,29-53
25,Memphis Grizzlies,24-58
26,Minnesota Timberwolves,24-58
27,Oklahoma City Thunder,23-59
28,Los Angeles Clippers,19-63
29,Washington Wizards,19-63
30,Sacramento Kings,17-65
