Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Shareef Abdur-Rahim\abdursh01,PF,29,SAC,72,1961,17.2,.588,.035,.440,6.4,14.8,10.6,13.2,1.3,1.6,12.5,20.1,,4.0,2.2,6.2,.152,,0.5,0.4,0.9,1.4
2,Alex Acker\ackeral01,SG,23,DET,5,35,-2.4,.281,.313,.000,3.4,13.7,8.5,17.9,1.6,0.0,20.0,27.2,,-0.2,0.0,-0.2,-0.230,,-11.0,-4.2,-15.3,-0.1
3,Malik Allen\allenma01,PF,27,CHI,54,701,11.5,.504,.004,.154,7.2,15.7,11.5,4.9,1.0,1.8,11.4,19.2,,0.0,1.0,1.0,.068,,-3.0,0.3,-2.7,-0.1
4,Ray Allen*\allenra02,SG,30,SEA,78,3022,22.2,.590,.435,.239,2.8,10.6,6.6,17.2,1.8,0.4,10.2,27.4,,9.8,-0.3,9.5,.150,,6.4,-2.0,4.4,4.9
5,Tony Allen\allento01,PG,24,BOS,51,978,12.9,.554,.124,.489,4.1,9.6,6.9,11.2,2.7,1.4,16.8,18.8,,0.6,1.0,1.7,.082,,-2.3,0.9,-1.4,0.1
6,Rafer Alston\alstora01,PG,29,HOU,63,2431,12.6,.475,.423,.194,1.8,10.4,6.1,30.8,2.3,0.5,16.4,18.8,,0.2,3.1,3.4,.067,,-1.0,0.6,-0.4,1.0
7,Chris Andersen\anderch01,C,27,NOK,32,570,14.1,.562,.000,1.051,12.4,20.2,16.2,1.7,0.8,5.9,15.4,13.9,,0.6,0.7,1.3,.112,,-2.0,0.9,-1.2,0.1
8,Alan Anderson\anderal01,SF,23,CHA,36,564,10.4,.520,.320,.227,4.4,10.3,7.2,9.3,1.0,0.6,13.9,18.2,,0.2,0.3,0.4,.037,,-1.7,-1.7,-3.3,-0.2
9,Derek Anderson\anderde01,SG,31,TOT,43,1047,10.8,.496,.442,.366,2.4,13.3,8.0,15.7,1.2,0.5,13.3,18.2,,0.5,1.1,1.6,.074,,-1.3,0.1,-1.2,0.2
9,Derek Anderson\anderde01,SG,31,HOU,20,582,12.5,.527,.387,.422,2.5,14.1,8.4,16.1,1.4,0.6,15.3,19.8,,0.3,0.7,1.0,.084,,-0.4,0.7,0.3,0.3
9,Derek Anderson\anderde01,SG,31,MIA,23,465,8.7,.453,.515,.292,2.4,12.4,7.6,15.1,0.9,0.3,10.4,16.3,,0.2,0.4,0.6,.061,,-2.4,-0.7,-3.1,-0.1
10,Shandon Anderson\andersh01,SF,32,MIA,48,638,6.2,.470,.151,.143,3.5,11.1,7.5,6.9,1.4,0.7,15.2,11.4,,-0.1,0.7,0.5,.039,,-4.1,0.4,-3.7,-0.3
11,Martynas Andriuškevičius\andrima01,C,19,CLE,6,9,15.5,.000,.000,.000,13.0,39.8,26.3,0.0,11.9,0.0,0.0,5.1,,0.0,0.0,0.0,.155,,-1.8,7.0,5.2,0.0
12,Carmelo Anthony\anthoca01,SF,21,DEN,80,2941,22.0,.563,.097,.451,4.9,10.7,7.8,14.3,1.5,1.1,10.4,32.0,,6.8,2.6,9.4,.153,,3.5,-0.9,2.7,3.5
13,Rafael Araújo\araujra01,C,25,TOR,52,601,4.5,.385,.007,.193,8.4,21.5,14.6,3.7,2.1,0.8,21.1,15.3,,-1.2,0.4,-0.8,-0.066,,-6.7,-1.0,-7.7,-0.9
14,Gilbert Arenas\arenagi01,PG,24,WAS,80,3384,23.8,.581,.324,.479,2.0,7.8,4.8,27.0,2.5,0.6,12.8,30.5,,11.0,2.6,13.6,.193,,5.4,0.0,5.4,6.3
15,Trevor Ariza\arizatr01,SF,20,TOT,57,999,11.8,.468,.022,.562,9.6,17.1,13.3,9.8,3.0,0.9,18.0,15.8,,-0.1,1.0,0.9,.043,,-1.8,1.1,-0.7,0.3
