Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim\abdursh01,PF,29,SAC,72,30,1961,332,632,.525,5,22,.227,327,610,.536,.529,218,278,.784,106,251,357,149,48,42,108,227,887
2,Alex Acker\ackeral01,SG,23,DET,5,0,35,4,16,.250,1,5,.200,3,11,.273,.281,0,0,,1,4,5,4,1,0,4,4,9
3,Malik Allen\allenma01,PF,27,CHI,54,20,701,121,247,.490,1,1,1.000,120,246,.488,.492,23,38,.605,44,96,140,20,14,16,34,92,266
4,Ray Allen*\allenra02,SG,30,SEA,78,78,3022,681,1500,.454,269,653,.412,412,847,.486,.544,324,359,.903,71,261,332,286,105,16,188,151,1955
5,Tony Allen\allento01,PG,24,BOS,51,9,978,129,274,.471,11,34,.324,118,240,.492,.491,100,134,.746,32,79,111,67,51,18,67,126,369
6,Rafer Alston\alstora01,PG,29,HOU,63,63,2431,280,738,.379,102,312,.327,178,426,.418,.449,99,143,.692,36,219,255,425,101,15,157,194,761
7,Chris Andersen\anderch01,C,27,NOK,32,2,570,56,98,.571,0,0,,56,98,.571,.571,49,103,.476,61,94,155,6,8,41,26,84,161
8,Alan Anderson\anderal01,SF,23,CHA,36,7,564,75,181,.414,24,58,.414,51,123,.415,.481,33,41,.805,23,47,70,32,11,4,32,48,207
9,Derek Anderson\anderde01,SG,31,TOT,43,11,1047,108,303,.356,40,134,.299,68,169,.402,.422,93,111,.838,21,122,143,101,23,6,54,98,349
9,Derek Anderson\anderde01,SG,31,HOU,20,8,582,68,173,.393,19,67,.284,49,106,.462,.448,61,73,.836,12,71,83,53,15,4,37,49,216
9,Derek Anderson\anderde01,SG,31,MIA,23,3,465,40,130,.308,21,67,.313,19,63,.302,.388,32,38,.842,9,51,60,48,8,2,17,49,133
10,Shandon Anderson\andersh01,SF,32,MIA,48,1,638,54,126,.429,5,19,.263,49,107,.458,.448,13,18,.722,18,63,81,30,17,6,24,75,126
11,Martynas Andriuškevičius\andrima01,C,19,CLE,6,0,9,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,3,4,0,2,0,0,1,0
12,Carmelo Anthony\anthoca01,SF,21,DEN,80,80,2941,756,1572,.481,37,152,.243,719,1420,.506,.493,573,709,.808,122,272,394,216,88,42,218,229,2122
13,Rafael Araújo\araujra01,C,25,TOR,52,34,601,53,145,.366,0,1,.000,53,144,.368,.366,15,28,.536,43,101,144,15,24,6,42,104,121
14,Gilbert Arenas\arenagi01,PG,24,WAS,80,80,3384,746,1668,.447,199,540,.369,547,1128,.485,.507,655,799,.820,59,221,280,484,161,25,297,286,2346
15,Trevor Ariza\arizatr01,SF,20,TOT,57,10,999,93,226,.412,1,5,.200,92,221,.416,.414,77,127,.606,78,140,218,61,57,11,62,100,264
15,Trevor Ariza\arizatr01,SF,20,NYK,36,10,709,61,146,.418,1,3,.333,60,143,.420,.421,42,77,.545,49,88,137,46,43,9,46,78,165
15,Trevor Ariza\arizatr01,SF,20,ORL,21,0,290,32,80,.400,0,2,.000,32,78,.410,.400,35,50,.700,29,52,81,15,14,2,16,22,99
16,Darrell Armstrong\armstda01,PG,37,DAL,62,2,622,43,128,.336,11,48,.229,32,80,.400,.379,33,42,.786,18,63,81,86,27,3,58,71,130
17,Carlos Arroyo\arroyca01,PG-SG,26,TOT,77,0,1194,168,378,.444,7,20,.350,161,358,.450,.454,106,137,.774,33,97,130,232,38,4,83,119,449
17,Carlos Arroyo\arroyca01,PG,26,DET,50,0,600,57,157,.363,2,6,.333,55,151,.364,.369,42,58,.724,24,46,70,155,19,3,45,77,158
17,Carlos Arroyo\arroyca01,SG,26,ORL,27,0,594,111,221,.502,5,14,.357,106,207,.512,.514,64,79,.810,9,51,60,77,19,1,38,42,291
18,Chucky Atkins\atkinch01,PG-SG,31,TOT,71,41,1713,226,573,.394,97,274,.354,129,299,.431,.479,129,163,.791,23,97,120,198,43,2,87,152,678
18,Chucky Atkins\atkinch01,SG,31,WAS,28,2,552,66,174,.379,33,92,.359,33,82,.402,.474,22,31,.710,12,33,45,69,14,0,30,58,187
18,Chucky Atkins\atkinch01,PG,31,MEM,43,39,1161,160,399,.401,64,182,.352,96,217,.442,.481,107,132,.811,11,64,75,129,29,2,57,94,491
19,Stacey Augmon\augmost01,SF,37,ORL,36,3,385,25,73,.342,0,0,,25,73,.342,.342,21,30,.700,18,35,53,23,12,6,11,40,71
20,Vin Baker\bakervi01,C,34,LAC,8,1,85,7,15,.467,0,0,,7,15,.467,.467,13,18,.722,2,17,19,4,4,4,9,13,27
21,Marcus Banks\banksma01,PG,24,TOT,58,29,1497,219,468,.468,22,63,.349,197,405,.486,.491,118,147,.803,23,112,135,220,54,11,119,162,578
21,Marcus Banks\banksma01,PG,24,BOS,18,1,269,33,80,.413,6,19,.316,27,61,.443,.450,27,30,.900,4,15,19,32,7,0,23,38,99
21,Marcus Banks\banksma01,PG,24,MIN,40,28,1228,186,388,.479,16,44,.364,170,344,.494,.500,91,117,.778,19,97,116,188,47,11,96,124,479
22,Leandro Barbosa\barbole01,SG,23,PHO,57,11,1592,273,567,.481,87,196,.444,186,371,.501,.558,111,147,.755,31,119,150,158,48,6,89,145,744
23,Matt Barnes\barnema02,PF-SF,25,TOT,56,5,631,70,140,.500,3,15,.200,67,125,.536,.511,32,47,.681,48,73,121,28,20,7,30,100,175
23,Matt Barnes\barnema02,SF,25,NYK,6,5,93,11,30,.367,1,4,.250,10,26,.385,.383,3,4,.750,7,17,24,6,4,0,6,8,26
23,Matt Barnes\barnema02,PF,25,PHI,50,0,538,59,110,.536,2,11,.182,57,99,.576,.545,29,43,.674,41,56,97,22,16,7,24,92,149
24,Andre Barrett\barrean01,PG,23,TOT,19,0,282,38,104,.365,2,14,.143,36,90,.400,.375,9,12,.750,9,16,25,52,10,0,15,13,87
24,Andre Barrett\barrean01,PG,23,PHO,2,0,21,3,7,.429,0,1,.000,3,6,.500,.429,3,3,1.000,1,2,3,2,0,0,1,1,9
24,Andre Barrett\barrean01,PG,23,TOR,17,0,261,35,97,.361,2,13,.154,33,84,.393,.371,6,9,.667,8,14,22,50,10,0,14,12,78
25,Earl Barron\barroea01,C,24,MIA,8,0,45,5,16,.313,0,0,,5,16,.313,.313,3,4,.750,2,8,10,0,0,0,5,10,13
26,Brent Barry\barrybr01,SG,34,SAS,74,5,1259,156,345,.452,80,202,.396,76,143,.531,.568,39,59,.661,29,130,159,123,39,27,52,99,431
27,Jon Barry\barryjo01,SG,36,HOU,20,0,342,25,65,.385,12,32,.375,13,33,.394,.477,24,29,.828,1,30,31,26,13,1,22,25,86
28,Eddie Basden\basdeed01,SF,22,CHI,19,0,141,15,37,.405,1,7,.143,14,30,.467,.419,8,10,.800,7,21,28,8,9,2,9,17,39
29,Brandon Bass\bassbr01,PF,20,NOK,29,1,268,28,70,.400,0,0,,28,70,.400,.400,12,19,.632,18,50,68,3,3,7,11,18,68
30,Esteban Batista\batises01,PF,22,ATL,57,3,495,34,80,.425,0,1,.000,34,79,.430,.425,33,53,.623,61,83,144,7,15,11,38,111,101
31,Tony Battie\battito01,C,29,ORL,82,82,2215,280,552,.507,0,6,.000,280,546,.513,.507,89,134,.664,145,312,457,49,46,69,88,250,649
32,Shane Battier\battish01,SF,27,MEM,81,81,2839,303,621,.488,65,165,.394,238,456,.522,.540,147,208,.707,164,265,429,136,92,114,90,223,818
33,Lonny Baxter\baxtelo01,C-PF,27,TOT,41,0,400,45,104,.433,0,0,,45,104,.433,.433,28,35,.800,45,72,117,4,11,8,20,56,118
33,Lonny Baxter\baxtelo01,C,27,HOU,23,0,281,33,72,.458,0,0,,33,72,.458,.458,16,19,.842,38,46,84,2,9,7,13,48,82
33,Lonny Baxter\baxtelo01,PF,27,CHA,18,0,119,12,32,.375,0,0,,12,32,.375,.375,12,16,.750,7,26,33,2,2,1,7,8,36
34,Charlie Bell\bellch01,SG,26,MIL,59,6,1283,180,410,.439,71,168,.423,109,242,.450,.526,63,89,.708,21,99,120,130,59,5,41,126,494
35,Raja Bell\bellra01,SG,29,PHO,79,79,2959,425,930,.457,197,446,.442,228,484,.471,.563,115,146,.788,44,209,253,207,76,22,89,248,1162
36,Jonathan Bender\bendejo01,SF,25,IND,2,0,21,4,5,.800,0,0,,4,5,.800,.800,2,2,1.000,0,4,4,2,0,1,0,2,10
37,Mike Bibby\bibbymi01,PG,27,SAC,82,82,3167,597,1382,.432,192,497,.386,405,885,.458,.501,342,403,.849,29,211,240,444,82,10,199,169,1728
38,Andris Biedriņš\biedran01,C,19,GSW,68,2,1000,118,185,.638,0,0,,118,185,.638,.638,22,72,.306,124,159,283,24,23,47,34,190,258
39,Chauncey Billups\billuch01,PG,29,DET,81,81,2925,423,1012,.418,184,425,.433,239,587,.407,.509,465,520,.894,41,211,252,699,71,8,170,160,1495
40,Steve Blake\blakest01,PG,25,POR,68,57,1781,206,470,.438,76,184,.413,130,286,.455,.519,72,91,.791,26,120,146,306,42,5,83,107,560
41,Andray Blatche\blatcan01,PF,19,WAS,29,0,175,26,67,.388,3,13,.231,23,54,.426,.410,10,12,.833,12,26,38,10,5,7,12,36,65
42,Mark Blount\blounma01,C,30,TOT,81,55,2240,373,734,.508,0,0,,373,734,.508,.508,168,222,.757,96,269,365,99,40,76,194,254,914
42,Mark Blount\blounma01,C,30,BOS,39,25,1083,194,380,.511,0,0,,194,380,.511,.511,97,127,.764,36,126,162,66,15,36,120,107,485
42,Mark Blount\blounma01,C,30,MIN,42,30,1157,179,354,.506,0,0,,179,354,.506,.506,71,95,.747,60,143,203,33,25,40,74,147,429
43,Keith Bogans\boganke01,SG-SF,25,TOT,72,31,1912,215,544,.395,65,200,.325,150,344,.436,.455,127,186,.683,55,200,255,128,71,9,90,167,622
43,Keith Bogans\boganke01,SG,25,CHA,39,9,848,114,288,.396,33,98,.337,81,190,.426,.453,80,105,.762,29,77,106,45,39,3,41,78,341
43,Keith Bogans\boganke01,SF,25,HOU,33,22,1064,101,256,.395,32,102,.314,69,154,.448,.457,47,81,.580,26,123,149,83,32,6,49,89,281
44,Andrew Bogut\bogutan01,PF,21,MIL,82,77,2348,323,606,.533,0,3,.000,323,603,.536,.533,122,194,.629,189,384,573,192,49,68,125,259,768
45,Matt Bonner\bonnema01,PF,25,TOR,78,6,1710,209,467,.448,102,243,.420,107,224,.478,.557,63,76,.829,86,198,284,56,49,31,32,216,583
46,Calvin Booth\boothca01,C,29,WAS,33,2,250,20,47,.426,1,2,.500,19,45,.422,.436,5,9,.556,19,33,52,12,9,9,8,44,46
47,Carlos Boozer\boozeca01,PF,24,UTA,33,19,1025,219,399,.549,0,0,,219,399,.549,.549,99,137,.723,73,212,285,88,30,8,69,105,537
48,Chris Bosh*\boshch01,C,21,TOR,70,70,2751,549,1087,.505,0,13,.000,549,1074,.511,.505,474,581,.816,204,443,647,181,50,79,157,209,1572
49,Bruce Bowen\bowenbr01,SF,34,SAS,82,82,2755,232,536,.433,104,245,.424,128,291,.440,.530,51,84,.607,35,285,320,126,79,30,67,191,619
50,Ryan Bowen\bowenry01,SF,30,HOU,68,19,652,37,124,.298,3,22,.136,34,102,.333,.310,11,14,.786,31,57,88,24,21,6,13,85,88
51,Earl Boykins\boykiea01,PG,29,DEN,60,0,1542,271,661,.410,62,179,.346,209,482,.434,.457,152,174,.874,21,60,81,230,48,4,83,73,756
52,Michael Bradley\bradlmi01,PF,26,PHI,46,1,367,32,79,.405,1,5,.200,31,74,.419,.411,2,3,.667,40,67,107,17,5,7,19,39,67
53,Elton Brand\brandel01,PF,26,LAC,79,79,3099,756,1435,.527,1,3,.333,755,1432,.527,.527,440,568,.775,236,554,790,208,81,201,173,227,1953
