Seed,Team,Record
1,Golden State Warriors,67-15
2,San Antonio Spurs,61-21
3,Houston Rockets,55-27
4,Boston Celtics,53-29
5,Cleveland Cavaliers,51-31
6,Los Angeles Clippers,51-31
7,Toronto Raptors,51-31
8,Utah Jazz,51-31
9,Washington Wizards,49-33
10,Oklahoma City Thunder,47-35
11,Atlanta Hawks,43-39
12,Memphis Grizzlies,43-39
13,Indiana Pacers,42-40
14,Milwaukee Bucks,42-40
15,Chicago Bulls,41-41
16,Portland Trail Blazers,41-41
17,Miami Heat,41-41
18,Denver Nuggets,40-42
19,Detroit Pistons,37-45
20,Charlotte Hornets,36-46
21,New Orleans Pelicans,34-48
22,Dallas Mavericks,33-49
23,Sacramento Kings,32-50
24,Minnesota Timberwolves,31-51
25,New York Knicks,31-51
26,Orlando Magic,29-53
27,Philadelphia 76ers,28-54
28,Los Angeles Lakers,26-56
29,Phoenix Suns,24-58
30,Brooklyn Nets,20-62
