Seed,Team,Record
1,Golden State Warriors,67-15
2,Atlanta Hawks,60-22
3,Houston Rockets,56-26
4,Los Angeles Clippers,56-26
5,Memphis Grizzlies,55-27
6,San Antonio Spurs,55-27
7,Cleveland Cavaliers,53-29
8,Portland Trail Blazers,51-31
9,Chicago Bulls,50-32
10,Dallas Mavericks,50-32
11,Toronto Raptors,49-33
12,Washington Wizards,46-36
13,New Orleans Pelicans,45-37
14,Oklahoma City Thunder,45-37
15,Milwaukee Bucks,41-41
16,Boston Celtics,40-42
17,Phoenix Suns,39-43
18,Brooklyn Nets,38-44
19,Indiana Pacers,38-44
20,Utah Jazz,38-44
21,Miami Heat,37-45
22,Charlotte Hornets,33-49
23,Detroit Pistons,32-50
24,Denver Nuggets,30-52
25,Sacramento Kings,29-53
26,Orlando Magic,25-57
27,Los Angeles Lakers,21-61
28,Philadelphia 76ers,18-64
29,New York Knicks,17-65
30,Minnesota Timberwolves,16-66
