Seed,Team,Record
1,Houston Rockets,65-17
2,Toronto Raptors,59-23
3,Golden State Warriors,58-24
4,Boston Celtics,55-27
5,Philadelphia 76ers,52-30
6,Cleveland Cavaliers,50-32
7,Portland Trail Blazers,49-33
8,Indiana Pacers,48-34
9,New Orleans Pelicans,48-34
10,Oklahoma City Thunder,48-34
11,Utah Jazz,48-34
12,Minnesota Timberwolves,47-35
13,San Antonio Spurs,47-35
14,Denver Nuggets,46-36
15,Miami Heat,44-38
16,Milwaukee Bucks,44-38
17,Washington Wizards,43-39
18,Los Angeles Clippers,42-40
19,Detroit Pistons,39-43
20,Charlotte Hornets,36-46
21,Los Angeles Lakers,35-47
22,New York Knicks,29-53
23,Brooklyn Nets,28-54
24,Chicago Bulls,27-55
25,Sacramento Kings,27-55
26,Orlando Magic,25-57
27,Atlanta Hawks,24-58
28,Dallas Mavericks,24-58
29,Memphis Grizzlies,22-60
30,Phoenix Suns,21-61
