Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
97,Marcus Cousin\cousima01,C,24,UTA,4,0,4.5,0.5,0.8,.667,0.0,0.0,,0.5,0.8,.667,.667,0.0,0.0,,0.0,0.8,0.8,0.0,0.0,0.3,0.3,0.3,1.0
98,DeMarcus Cousins\couside01,C,20,SAC,81,62,28.5,5.3,12.4,.430,0.0,0.2,.167,5.3,12.2,.435,.432,3.4,5.0,.687,2.7,6.0,8.6,2.5,1.0,0.8,3.3,4.1,14.1
99,Jamal Crawford\crawfja01,SG,30,ATL,76,0,30.2,4.8,11.5,.421,1.6,4.6,.341,3.3,6.9,.474,.489,2.9,3.4,.854,0.3,1.4,1.7,3.2,0.8,0.2,1.9,1.3,14.2
100,Jordan Crawford\crawfjo02,SG,22,TOT,42,18,24.5,4.6,11.9,.384,0.8,3.0,.258,3.8,8.9,.427,.417,1.7,2.0,.869,0.7,1.8,2.5,2.8,0.9,0.1,2.0,1.5,11.7
100,Jordan Crawford\crawfjo02,SG,22,ATL,16,0,10.0,1.7,4.8,.351,0.6,1.7,.333,1.1,3.1,.360,.409,0.3,0.4,.667,0.6,1.2,1.8,0.9,0.2,0.0,0.9,0.8,4.2
100,Jordan Crawford\crawfjo02,SG,22,WAS,26,18,33.3,6.3,16.3,.390,0.9,3.9,.238,5.4,12.4,.438,.418,2.7,3.0,.885,0.8,2.1,3.0,3.9,1.4,0.1,2.6,1.9,16.3
101,Dante Cunningham\cunnida01,PF,23,TOT,78,18,21.0,2.8,6.1,.462,0.0,0.2,.077,2.8,5.9,.473,.463,0.6,0.8,.726,1.2,2.3,3.6,0.6,0.7,0.6,0.7,2.3,6.2
101,Dante Cunningham\cunnida01,PF,23,POR,56,9,19.8,2.3,5.2,.433,0.0,0.1,.000,2.3,5.1,.439,.433,0.6,0.8,.711,1.3,2.1,3.4,0.5,0.7,0.6,0.6,2.5,5.1
101,Dante Cunningham\cunnida01,PF,23,CHA,22,9,24.0,4.2,8.2,.508,0.0,0.4,.111,4.1,7.8,.529,.511,0.6,0.8,.765,1.0,3.0,4.0,0.6,0.7,0.5,0.8,1.7,9.0
102,Stephen Curry\curryst01,PG,22,GSW,74,74,33.6,6.8,14.2,.480,2.0,4.6,.442,4.8,9.6,.498,.551,2.9,3.1,.934,0.7,3.2,3.9,5.8,1.5,0.3,3.1,3.1,18.6
103,Samuel Dalembert\dalemsa01,C,29,SAC,80,46,24.2,3.4,7.1,.473,0.0,0.0,.000,3.4,7.1,.474,.473,1.4,1.9,.730,2.7,5.6,8.2,0.8,0.5,1.5,1.7,2.8,8.1
104,Erick Dampier\dampier01,C,35,MIA,51,22,16.0,1.0,1.7,.584,0.0,0.0,.000,1.0,1.7,.591,.584,0.5,0.9,.545,1.0,2.4,3.5,0.4,0.3,0.9,0.6,1.6,2.5
105,Antonio Daniels\daniean01,PG,35,PHI,4,0,8.8,0.5,1.3,.400,0.0,0.5,.000,0.5,0.8,.667,.400,0.5,0.5,1.000,0.0,1.3,1.3,0.5,0.0,0.0,0.3,0.0,1.5
106,Marquis Daniels\daniema01,SF,30,BOS,49,0,19.1,2.3,4.7,.491,0.1,0.4,.190,2.2,4.3,.521,.500,0.8,1.2,.684,0.5,1.8,2.3,1.3,0.8,0.4,0.8,1.3,5.5
107,Baron Davis\davisba01,PG,31,TOT,58,44,28.4,5.0,11.9,.417,1.4,4.1,.339,3.6,7.8,.458,.475,1.7,2.3,.771,0.6,2.1,2.7,6.7,1.3,0.5,2.5,2.5,13.1
107,Baron Davis\davisba01,PG,31,LAC,43,35,29.5,5.0,12.0,.416,1.0,3.5,.296,3.9,8.4,.466,.459,1.8,2.4,.760,0.7,2.1,2.8,7.0,1.4,0.5,2.5,2.7,12.8
107,Baron Davis\davisba01,PG,31,CLE,15,9,25.3,5.0,11.9,.421,2.4,5.8,.414,2.6,6.1,.429,.522,1.5,1.8,.815,0.4,2.0,2.4,6.1,1.1,0.4,2.6,1.9,13.9
108,Ed Davis\davised01,PF,21,TOR,65,17,24.6,3.3,5.7,.576,0.0,0.0,,3.3,5.7,.576,.576,1.1,2.0,.555,2.6,4.5,7.1,0.6,0.6,1.0,0.7,2.8,7.7
109,Glen Davis\davisgl01,C,25,BOS,78,13,29.5,4.6,10.3,.448,0.0,0.2,.133,4.6,10.1,.454,.449,2.5,3.4,.736,1.3,4.2,5.4,1.2,1.0,0.4,1.1,3.0,11.7
110,Austin Daye\dayeau01,SF,22,DET,72,16,20.1,2.7,6.5,.410,1.0,2.4,.401,1.7,4.2,.415,.483,1.1,1.5,.759,0.9,2.9,3.8,1.1,0.5,0.5,0.8,2.3,7.5
111,Carlos Delfino\delfica01,SF,28,MIL,49,40,32.4,4.1,10.5,.390,2.1,5.8,.370,1.9,4.7,.415,.492,1.2,1.5,.800,0.5,3.6,4.1,2.3,1.6,0.2,1.2,1.5,11.5
112,Luol Deng\denglu01,SF,25,CHI,82,82,39.1,6.5,14.1,.460,1.4,4.1,.345,5.1,10.0,.506,.510,3.1,4.1,.753,1.4,4.4,5.8,2.8,1.0,0.6,1.9,2.0,17.4
113,DeMar DeRozan\derozde01,SG,21,TOR,82,82,34.8,6.6,14.1,.467,0.1,0.6,.096,6.5,13.4,.485,.469,4.0,4.9,.813,0.9,2.9,3.8,1.8,1.0,0.4,1.8,2.6,17.2
114,Boris Diaw\diawbo01,PF,28,CHA,82,82,33.9,4.6,9.4,.492,1.0,2.8,.345,3.7,6.7,.553,.543,1.0,1.5,.683,1.3,3.8,5.0,4.1,0.9,0.6,2.0,2.3,11.3
115,Ike Diogu\dioguik01,PF,27,LAC,36,0,13.1,2.3,4.1,.561,0.0,0.0,,2.3,4.1,.561,.561,1.1,1.7,.661,1.1,2.1,3.2,0.1,0.1,0.1,0.6,2.0,5.8
116,DeSagana Diop\diopde01,C,29,CHA,16,0,11.3,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.3,0.7,.364,0.8,1.8,2.5,0.4,0.3,0.9,0.7,1.6,1.3
117,Keyon Dooling\doolike01,PG,30,MIL,80,22,22.0,2.6,6.5,.397,1.0,2.9,.346,1.6,3.6,.439,.475,1.0,1.2,.830,0.2,1.3,1.5,3.0,0.7,0.1,1.1,1.5,7.1
118,Joey Dorsey\dorsejo01,C,27,TOR,43,9,12.1,1.2,2.3,.525,0.0,0.0,,1.2,2.3,.525,.525,0.7,1.5,.477,1.8,2.6,4.4,0.6,0.6,0.4,0.9,1.8,3.1
119,Toney Douglas\douglto01,SG,24,NYK,81,9,24.3,3.9,9.3,.416,1.8,4.7,.373,2.1,4.6,.460,.511,1.0,1.3,.794,0.8,2.2,3.0,3.0,1.1,0.0,1.1,2.2,10.6
120,Chris Douglas-Roberts\douglch01,SF,24,MIL,44,12,20.1,2.7,6.2,.429,0.3,1.0,.326,2.3,5.2,.449,.456,1.7,2.0,.831,0.2,1.8,2.0,1.1,0.7,0.3,0.8,1.7,7.3
121,Zabian Dowdell\dowdeza01,PG,26,PHO,24,0,12.2,2.1,5.2,.408,0.1,0.4,.300,2.0,4.8,.417,.420,0.7,0.7,.941,0.2,0.6,0.8,2.1,0.8,0.1,1.2,1.3,5.0
122,Goran Dragić\dragigo01,PG,24,TOT,70,5,17.6,2.7,6.3,.435,0.8,2.2,.361,1.9,4.1,.476,.499,1.2,1.9,.624,0.5,1.5,2.0,2.9,0.7,0.1,1.7,1.8,7.5
122,Goran Dragić\dragigo01,PG,24,PHO,48,2,17.8,2.8,6.6,.421,0.6,2.1,.277,2.2,4.5,.488,.465,1.2,2.0,.608,0.5,1.3,1.8,3.1,0.8,0.1,2.0,1.9,7.4
122,Goran Dragić\dragigo01,PG,24,HOU,22,3,17.2,2.7,5.7,.472,1.3,2.5,.519,1.4,3.2,.437,.584,1.1,1.6,.667,0.5,2.0,2.5,2.5,0.6,0.2,1.0,1.6,7.7
123,Jared Dudley\dudleja01,SF,25,PHO,82,15,26.1,3.7,7.7,.477,1.3,3.1,.415,2.4,4.6,.519,.560,2.0,2.7,.743,1.4,2.5,3.9,1.3,1.1,0.2,0.9,1.7,10.6
