Seed,Team,Record
1,Dallas Mavericks,60-22
2,San Antonio Spurs,60-22
3,Sacramento Kings,59-23
4,Minnesota Timberwolves,51-31
5,Detroit Pistons,50-32
6,Los Angeles Lakers,50-32
7,Portland Trail Blazers,50-32
8,New Jersey Nets,49-33
9,Indiana Pacers,48-34
10,Philadelphia 76ers,48-34
11,New Orleans Hornets,47-35
12,Utah Jazz,47-35
13,Boston Celtics,44-38
14,Phoenix Suns,44-38
15,Houston Rockets,43-39
16,Milwaukee Bucks,42-40
17,Orlando Magic,42-40
18,Seattle SuperSonics,40-42
19,Golden State Warriors,38-44
20,New York Knicks,37-45
21,Washington Wizards,37-45
22,Atlanta Hawks,35-47
23,Chicago Bulls,30-52
24,Memphis Grizzlies,28-54
25,Los Angeles Clippers,27-55
26,Miami Heat,25-57
27,Toronto Raptors,24-58
28,Cleveland Cavaliers,17-65
29,Denver Nuggets,17-65
