Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim\abdursh01,PF,31,SAC,6,0,51,3,14,.214,0,0,,3,14,.214,.214,4,4,1.000,6,4,10,4,1,0,1,9,10
2,Arron Afflalo\afflaar01,SG,22,DET,75,9,970,99,241,.411,10,48,.208,89,193,.461,.432,68,87,.782,36,101,137,52,31,8,34,83,276
3,Maurice Ager\agerma01,SG,23,TOT,26,3,165,21,65,.323,3,19,.158,18,46,.391,.346,6,12,.500,4,9,13,8,0,1,6,17,51
3,Maurice Ager\agerma01,SG,23,DAL,12,3,77,5,27,.185,0,8,.000,5,19,.263,.185,5,6,.833,1,3,4,4,0,1,3,11,15
3,Maurice Ager\agerma01,SG,23,NJN,14,0,88,16,38,.421,3,11,.273,13,27,.481,.461,1,6,.167,3,6,9,4,0,0,3,6,36
4,Blake Ahearn\ahearbl01,PG,23,MIA,12,0,177,15,57,.263,10,34,.294,5,23,.217,.351,30,31,.968,1,18,19,19,6,0,16,20,70
5,LaMarcus Aldridge\aldrila01,PF,22,POR,76,76,2649,561,1160,.484,1,7,.143,560,1153,.486,.484,227,298,.762,220,358,578,122,55,94,126,240,1350
6,Malik Allen\allenma01,PF,29,TOT,73,16,1096,157,327,.480,1,2,.500,156,325,.480,.482,23,25,.920,66,130,196,44,19,31,45,149,338
6,Malik Allen\allenma01,PF,29,NJN,48,12,763,124,261,.475,1,2,.500,123,259,.475,.477,12,13,.923,42,86,128,29,15,21,32,89,261
6,Malik Allen\allenma01,PF,29,DAL,25,4,333,33,66,.500,0,0,,33,66,.500,.500,11,12,.917,24,44,68,15,4,10,13,60,77
7,Ray Allen*\allenra02,SG,32,BOS,73,73,2624,439,986,.445,180,452,.398,259,534,.485,.537,215,237,.907,75,193,268,225,65,16,127,147,1273
