Seed,Team,Record
1,Sacramento Kings,61-21
2,Los Angeles Lakers,58-24
3,San Antonio Spurs,58-24
4,Dallas Mavericks,57-25
5,New Jersey Nets,52-30
6,Detroit Pistons,50-32
7,Minnesota Timberwolves,50-32
8,Boston Celtics,49-33
9,Portland Trail Blazers,49-33
10,Seattle SuperSonics,45-37
11,Charlotte Hornets,44-38
12,Orlando Magic,44-38
13,Utah Jazz,44-38
14,Philadelphia 76ers,43-39
15,Indiana Pacers,42-40
16,Toronto Raptors,42-40
17,Milwaukee Bucks,41-41
18,Los Angeles Clippers,39-43
19,Washington Wizards,37-45
20,Miami Heat,36-46
21,Phoenix Suns,36-46
22,Atlanta Hawks,33-49
23,New York Knicks,30-52
24,Cleveland Cavaliers,29-53
25,Houston Rockets,28-54
26,Denver Nuggets,27-55
27,Memphis Grizzlies,23-59
28,Chicago Bulls,21-61
29,Golden State Warriors,21-61
