Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,C,22,TOR,73,28,1725,265,603,.439,56,156,.359,209,447,.468,.486,78,131,.595,146,327,473,82,37,41,84,151,664
2,Steven Adams\adamsst01,C,28,MEM,76,75,1999,210,384,.547,0,1,.000,210,383,.548,.547,108,199,.543,349,411,760,256,65,60,115,153,528
3,Bam Adebayo\adebaba01,C,24,MIA,56,56,1825,406,729,.557,0,6,.000,406,723,.562,.557,256,340,.753,137,427,564,190,80,44,148,171,1068
4,Santi Aldama\aldamsa01,PF,21,MEM,32,0,360,53,132,.402,6,48,.125,47,84,.560,.424,20,32,.625,33,54,87,21,6,10,16,36,132
5,LaMarcus Aldridge\aldrila01,C,36,BRK,47,12,1050,252,458,.550,14,46,.304,238,412,.578,.566,89,102,.873,73,185,258,42,14,47,44,78,607
6,Nickeil Alexander-Walker\alexani01,SG,23,TOT,65,21,1466,253,680,.372,105,338,.311,148,342,.433,.449,81,109,.743,37,150,187,156,46,23,93,103,692
6,Nickeil Alexander-Walker\alexani01,SG,23,NOP,50,19,1317,237,632,.375,95,305,.311,142,327,.434,.450,70,97,.722,36,128,164,139,41,19,85,88,639
6,Nickeil Alexander-Walker\alexani01,SG,23,UTA,15,2,149,16,48,.333,10,33,.303,6,15,.400,.438,11,12,.917,1,22,23,17,5,4,8,15,53
7,Grayson Allen\allengr01,SG,26,MIL,66,61,1805,255,569,.448,159,389,.409,96,180,.533,.588,64,74,.865,32,190,222,100,46,18,43,96,733
8,Jarrett Allen\allenja01,C,23,CLE,56,56,1809,369,545,.677,1,10,.100,368,535,.688,.678,165,233,.708,192,410,602,92,44,75,94,97,904
9,Jose Alvarado\alvarjo01,PG,23,NOP,54,1,834,131,294,.446,32,110,.291,99,184,.538,.500,36,53,.679,25,75,100,152,71,7,40,73,330
10,Justin Anderson\anderju01,SF,28,TOT,16,6,316,36,95,.379,15,59,.254,21,36,.583,.458,15,19,.789,4,42,46,33,8,6,8,22,102
10,Justin Anderson\anderju01,SF,28,CLE,3,0,47,4,8,.500,2,6,.333,2,2,1.000,.625,3,4,.750,0,6,6,6,1,0,2,4,13
10,Justin Anderson\anderju01,SF,28,IND,13,6,269,32,87,.368,13,53,.245,19,34,.559,.443,12,15,.800,4,36,40,27,7,6,6,18,89
11,Kyle Anderson\anderky01,PF,28,MEM,69,11,1484,209,469,.446,36,109,.330,173,360,.481,.484,67,105,.638,69,299,368,183,77,45,71,108,521
12,Giannis Antetokounmpo\antetgi01,PF,27,MIL,67,67,2204,689,1245,.553,71,242,.293,618,1003,.616,.582,553,766,.722,134,644,778,388,72,91,219,212,2002
13,Thanasis Antetokounmpo\antetth01,SF,29,MIL,48,6,473,70,128,.547,2,14,.143,68,114,.596,.555,29,46,.630,40,61,101,22,16,12,26,68,171
14,Carmelo Anthony\anthoca01,PF,37,LAL,69,3,1793,319,723,.441,149,397,.375,170,326,.521,.544,132,159,.830,62,226,288,68,47,52,59,166,919
15,Cole Anthony\anthoco01,PG,21,ORL,65,65,2059,357,912,.391,132,391,.338,225,521,.432,.464,216,253,.854,32,316,348,369,46,17,170,171,1062
16,OG Anunoby\anunoog01,SF,24,TOR,48,48,1728,309,697,.443,115,317,.363,194,380,.511,.526,89,118,.754,74,190,264,125,71,25,80,131,822
17,Ryan Arcidiacono\arcidry01,PG,27,NYK,10,0,76,6,12,.500,4,9,.444,2,3,.667,.667,0,0,,0,8,8,4,1,0,3,5,16
18,Trevor Ariza\arizatr01,SF,36,LAL,24,11,462,33,99,.333,20,74,.270,13,25,.520,.434,10,18,.556,10,72,82,27,13,6,11,20,96
19,D.J. Augustin\augusdj01,PG,34,TOT,55,2,883,94,222,.423,68,164,.415,26,58,.448,.577,38,43,.884,11,57,68,107,17,1,56,39,294
19,D.J. Augustin\augusdj01,PG,34,HOU,34,2,510,55,136,.404,39,96,.406,16,40,.400,.548,33,38,.868,7,34,41,74,10,0,45,17,182
19,D.J. Augustin\augusdj01,PG,34,LAL,21,0,373,39,86,.453,29,68,.426,10,18,.556,.622,5,5,1.000,4,23,27,33,7,1,11,22,112
20,Deni Avdija\avdijde01,SF,21,WAS,82,8,1984,250,579,.432,82,259,.317,168,320,.525,.503,103,136,.757,52,373,425,167,59,44,87,190,685
21,Joel Ayayi\ayayijo01,SG,21,WAS,7,0,20,1,6,.167,0,1,.000,1,5,.200,.167,0,0,,1,2,3,4,0,0,0,0,2
22,Deandre Ayton\aytonde01,C,23,PHO,58,58,1713,442,697,.634,7,19,.368,435,678,.642,.639,106,142,.746,149,444,593,84,40,40,91,142,997
23,Udoka Azubuike\azubuud01,C,22,UTA,17,6,195,37,49,.755,0,0,,37,49,.755,.755,6,11,.545,18,53,71,0,1,11,12,25,80
24,Marvin Bagley III\baglema01,PF,22,TOT,48,25,1146,225,446,.504,23,97,.237,202,349,.579,.530,67,101,.663,105,233,338,36,22,18,39,93,540
24,Marvin Bagley III\baglema01,PF,22,SAC,30,17,656,114,246,.463,15,62,.242,99,184,.538,.494,35,47,.745,67,148,215,17,9,11,21,50,278
24,Marvin Bagley III\baglema01,PF,22,DET,18,8,490,111,200,.555,8,35,.229,103,165,.624,.575,32,54,.593,38,85,123,19,13,7,18,43,262
25,LaMelo Ball\ballla01,PG,20,CHO,75,75,2422,538,1254,.429,220,565,.389,318,689,.462,.517,212,243,.872,108,393,501,571,119,30,245,237,1508
26,Lonzo Ball\balllo01,PG,24,CHI,35,35,1212,162,383,.423,110,260,.423,52,123,.423,.567,21,28,.750,35,155,190,178,64,31,82,85,455
27,Mo Bamba\bambamo01,C,23,ORL,71,69,1824,296,617,.480,107,281,.381,189,336,.563,.566,57,73,.781,148,424,572,85,38,118,77,182,756
28,Desmond Bane\banede01,SF,23,MEM,76,76,2266,508,1101,.461,228,523,.436,280,578,.484,.565,140,155,.903,46,288,334,208,92,29,111,196,1384
29,Dalano Banton\bantoda01,PG,22,TOR,64,1,696,83,202,.411,13,51,.255,70,151,.464,.443,26,44,.591,38,86,124,99,28,10,53,68,205
30,Cat Barber\barbeca01,PG,27,ATL,3,0,13,0,4,.000,0,0,,0,4,.000,.000,0,4,.000,1,2,3,3,0,0,1,1,0
31,Harrison Barnes\barneha02,PF,29,SAC,77,77,2587,391,834,.469,142,360,.394,249,474,.525,.554,341,413,.826,82,350,432,186,53,14,118,94,1265
32,Scottie Barnes\barnesc01,PF,20,TOR,74,74,2617,459,932,.492,58,193,.301,401,739,.543,.524,158,215,.735,195,362,557,256,80,55,136,192,1134
33,RJ Barrett\barrerj01,SF,21,NYK,70,70,2417,487,1194,.408,138,404,.342,349,790,.442,.466,290,406,.714,66,342,408,208,43,16,151,142,1402
34,Will Barton\bartowi01,SG,31,DEN,71,71,2277,392,896,.438,157,430,.365,235,466,.504,.525,102,127,.803,44,296,340,276,55,31,127,114,1043
35,Paris Bass\basspa01,SF,26,PHO,2,0,7,2,6,.333,0,2,.000,2,4,.500,.333,2,2,1.000,2,2,4,0,1,0,2,2,6
36,Charles Bassey\bassech01,PF,21,PHI,23,0,168,30,47,.638,0,4,.000,30,43,.698,.638,9,12,.750,22,40,62,7,5,17,8,32,69
37,Keita Bates-Diop\bateske01,SF,26,SAS,59,14,956,136,263,.517,17,55,.309,119,208,.572,.549,46,61,.754,62,169,231,41,27,14,45,61,335
38,Nicolas Batum\batumni01,PF,33,LAC,59,54,1462,179,387,.463,108,270,.400,71,117,.607,.602,25,38,.658,29,225,254,100,58,42,40,80,491
39,Kent Bazemore\bazemke01,SF,32,LAL,39,14,545,45,139,.324,29,80,.363,16,59,.271,.428,13,17,.765,13,56,69,34,25,9,21,70,132
40,Darius Bazley\bazleda01,PF,21,OKC,69,53,1924,274,649,.422,80,269,.297,194,380,.511,.484,117,170,.688,71,365,436,97,58,70,90,68,745
41,Bradley Beal\bealbr01,SG,28,WAS,40,40,1439,348,771,.451,63,210,.300,285,561,.508,.492,169,203,.833,38,151,189,265,36,15,135,95,928
42,Malik Beasley\beaslma01,SG,25,MIN,79,18,1976,332,850,.391,240,637,.377,92,213,.432,.532,49,60,.817,26,201,227,116,43,12,43,88,953
43,Jordan Bell\belljo01,C,27,CHI,1,0,2,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,1,0,0,2,0
44,DeAndre' Bembry\bembrde01,SF,27,TOT,56,20,1026,124,221,.561,15,36,.417,109,185,.589,.595,21,35,.600,42,121,163,66,49,25,31,113,284
44,DeAndre' Bembry\bembrde01,SF,27,BRK,48,20,949,121,213,.568,15,36,.417,106,177,.599,.603,21,35,.600,38,114,152,60,47,25,30,104,278
44,DeAndre' Bembry\bembrde01,SF,27,MIL,8,0,77,3,8,.375,0,0,,3,8,.375,.375,0,0,,4,7,11,6,2,0,1,9,6
45,Dāvis Bertāns\bertada01,PF,29,TOT,56,0,807,99,275,.360,77,230,.335,22,45,.489,.500,36,40,.900,12,105,117,31,17,12,19,85,311
45,Dāvis Bertāns\bertada01,PF,29,WAS,34,0,501,60,171,.351,46,144,.319,14,27,.519,.485,28,30,.933,6,55,61,16,11,6,14,55,194
45,Dāvis Bertāns\bertada01,PF,29,DAL,22,0,306,39,104,.375,31,86,.360,8,18,.444,.524,8,10,.800,6,50,56,15,6,6,5,30,117
46,Patrick Beverley\beverpa01,PG,33,MIN,58,54,1476,177,436,.406,83,242,.343,94,194,.485,.501,96,133,.722,62,178,240,268,67,52,73,174,533
47,Saddiq Bey\beysa01,SF,22,DET,82,82,2704,450,1136,.396,211,610,.346,239,526,.454,.489,210,254,.827,107,334,441,233,73,16,96,128,1321
48,Khem Birch\birchkh01,C,29,TOR,55,28,991,97,200,.485,0,14,.000,97,186,.522,.485,53,71,.746,122,117,239,56,30,26,29,104,247
49,Goga Bitadze\bitadgo01,C,22,IND,50,16,729,131,252,.520,23,80,.288,108,172,.628,.565,64,94,.681,79,98,177,55,21,42,46,107,349
50,Bismack Biyombo\biyombi01,C,29,PHO,36,3,506,86,145,.593,0,0,,86,145,.593,.593,38,71,.535,63,104,167,23,12,26,25,70,210
51,Nemanja Bjelica\bjeline01,C,33,GSW,71,0,1142,160,342,.468,54,149,.362,106,193,.549,.547,59,81,.728,62,232,294,159,41,26,87,128,433
52,Eric Bledsoe\bledser01,PG,32,LAC,54,29,1361,197,468,.421,51,163,.313,146,305,.479,.475,89,117,.761,28,154,182,225,69,19,116,85,534
53,Keljin Blevins\blevike01,SF,26,POR,31,1,349,34,111,.306,21,72,.292,13,39,.333,.401,6,11,.545,16,29,45,19,13,1,17,29,95
54,Bogdan Bogdanović\bogdabo01,SG,29,ATL,63,27,1848,342,794,.431,169,459,.368,173,335,.516,.537,97,115,.843,29,221,250,194,68,14,70,132,950
55,Bojan Bogdanović\bogdabo02,PF,32,UTA,69,69,2131,422,928,.455,181,468,.387,241,460,.524,.552,223,260,.858,58,238,296,120,34,1,118,116,1248
56,Bol Bol\bolbo01,PF,22,DEN,14,0,81,15,27,.556,1,4,.250,14,23,.609,.574,2,5,.400,4,16,20,5,1,2,4,4,33
57,Leandro Bolmaro\bolmale01,SF,21,MIN,35,2,241,17,54,.315,5,18,.278,12,36,.333,.361,11,13,.846,16,27,43,21,6,0,13,26,50
58,Isaac Bonga\bongais01,SF,22,TOR,15,0,69,3,13,.231,1,4,.250,2,9,.222,.269,5,8,.625,4,3,7,4,8,2,2,10,12
59,Devin Booker\bookede01,SG,25,PHO,68,68,2345,662,1421,.466,183,478,.383,479,943,.508,.530,315,363,.868,45,297,342,329,77,26,162,180,1822
60,Brandon Boston Jr.\bostobr01,SG,20,LAC,51,0,760,125,325,.385,34,111,.306,91,214,.425,.437,59,72,.819,17,94,111,51,26,13,31,43,343
61,Chris Boucher\bouchch01,PF,29,TOR,80,9,1690,268,577,.464,68,229,.297,200,348,.575,.523,150,193,.777,179,315,494,25,49,75,42,174,754
62,James Bouknight\bouknja01,SG,21,CHO,31,0,304,49,141,.348,17,49,.347,32,92,.348,.408,27,31,.871,22,30,52,26,7,1,15,29,142
63,Avery Bradley\bradlav01,SG,31,LAL,62,45,1406,148,350,.423,82,210,.390,66,140,.471,.540,16,18,.889,31,105,136,47,53,9,38,118,394
64,Tony Bradley\bradlto01,C,24,CHI,55,7,549,72,123,.585,0,0,,72,123,.585,.585,19,29,.655,67,119,186,27,10,33,34,62,163
65,Ignas Brazdeikis\brazdig01,SF,23,ORL,42,1,536,81,188,.431,27,87,.310,54,101,.535,.503,21,32,.656,23,49,72,37,10,3,17,48,210
66,Mikal Bridges\bridgmi01,SF,25,PHO,82,82,2854,458,858,.534,115,312,.369,343,546,.628,.601,131,157,.834,74,273,347,185,96,36,68,150,1162
67,Miles Bridges\bridgmi02,PF,23,CHO,80,80,2837,596,1214,.491,154,465,.331,442,749,.590,.554,267,333,.802,90,469,559,300,74,67,150,193,1613
68,Oshae Brissett\brissos01,SF,23,IND,67,25,1564,208,506,.411,83,237,.350,125,269,.465,.493,114,164,.695,108,250,358,72,44,29,54,116,613
69,Malcolm Brogdon\brogdma01,PG,29,IND,36,36,1206,243,543,.448,58,186,.312,185,357,.518,.501,143,167,.856,33,152,185,212,30,14,77,71,687
70,Armoni Brooks\brookar01,SG-PG,23,TOT,54,11,844,98,289,.339,74,249,.297,24,40,.600,.467,18,21,.857,20,83,103,62,28,11,27,74,288
70,Armoni Brooks\brookar01,SG,23,HOU,41,8,690,87,251,.347,64,213,.300,23,38,.605,.474,16,19,.842,12,69,81,49,21,8,23,60,254
70,Armoni Brooks\brookar01,PG,23,TOR,13,3,154,11,38,.289,10,36,.278,1,2,.500,.421,2,2,1.000,8,14,22,13,7,3,4,14,34
71,Dillon Brooks\brookdi01,SF,26,MEM,32,31,885,227,526,.432,46,149,.309,181,377,.480,.475,90,106,.849,29,73,102,88,36,8,50,105,590
72,Bruce Brown\brownbr01,SF,25,BRK,72,45,1774,256,506,.506,38,94,.404,218,412,.529,.543,97,128,.758,100,245,345,148,77,52,56,176,647
