Seed,Team,Record
1,Chicago Bulls,50-16
2,San Antonio Spurs,50-16
3,Oklahoma City Thunder,47-19
4,Miami Heat,46-20
5,Indiana Pacers,42-24
6,Los Angeles Lakers,41-25
7,Memphis Grizzlies,41-25
8,Atlanta Hawks,40-26
9,Los Angeles Clippers,40-26
10,Boston Celtics,39-27
11,Denver Nuggets,38-28
12,Orlando Magic,37-29
13,Dallas Mavericks,36-30
14,New York Knicks,36-30
15,Utah Jazz,36-30
16,Philadelphia 76ers,35-31
17,Houston Rockets,34-32
18,Phoenix Suns,33-33
19,Milwaukee Bucks,31-35
20,Portland Trail Blazers,28-38
21,Minnesota Timberwolves,26-40
22,Detroit Pistons,25-41
23,Golden State Warriors,23-43
24,Toronto Raptors,23-43
25,New Jersey Nets,22-44
26,Sacramento Kings,22-44
27,Cleveland Cavaliers,21-45
28,New Orleans Hornets,21-45
29,Washington Wizards,20-46
30,Charlotte Bobcats,7-59
