Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Shareef Abdur-Rahim\abdursh01,PF,28,POR,54,1867,18.7,.581,.058,.379,7.9,16.0,12.1,10.7,1.4,1.0,13.0,22.1,,3.9,1.5,5.4,.139,,1.6,-0.6,0.9,1.4
2,Cory Alexander\alexaco01,SG,31,CHA,16,201,8.8,.451,.388,.245,4.3,12.6,8.2,27.7,2.3,0.4,25.9,16.2,,-0.2,0.2,0.0,.002,,-3.6,0.2,-3.4,-0.1
3,Malik Allen\allenma01,PF,26,TOT,36,519,14.2,.512,.000,.158,9.0,13.3,11.0,5.7,0.9,3.2,8.7,18.1,,0.6,0.5,1.1,.100,,-1.0,-0.7,-1.8,0.0
3,Malik Allen\allenma01,PF,26,MIA,14,248,13.6,.505,.000,.184,11.8,12.7,12.2,7.0,0.9,3.3,11.8,17.5,,0.3,0.3,0.6,.113,,-1.3,-0.3,-1.6,0.0
3,Malik Allen\allenma01,PF,26,CHA,22,271,14.8,.518,.000,.139,6.4,13.8,9.9,4.6,1.0,3.1,6.1,18.7,,0.3,0.2,0.5,.088,,-0.8,-1.2,-2.0,0.0
4,Ray Allen*\allenra02,SG,29,SEA,78,3064,20.9,.555,.372,.286,3.2,10.7,6.9,18.1,1.5,0.1,9.2,28.0,,9.7,1.0,10.7,.168,,5.3,-1.2,4.1,4.8
5,Tony Allen\allento01,SG,23,BOS,77,1262,14.7,.542,.080,.393,8.0,12.3,10.2,8.2,3.1,1.4,14.5,18.9,,1.2,1.6,2.7,.103,,-0.7,0.8,0.1,0.7
6,Rafer Alston\alstora01,PG,28,TOR,80,2717,16.5,.522,.399,.265,1.7,10.1,5.8,31.7,2.2,0.2,13.5,21.2,,3.8,1.7,5.5,.098,,1.4,-0.5,0.9,2.0
7,Chris Andersen\anderch01,C,26,NOH,67,1430,18.5,.581,.008,.531,10.9,23.6,17.0,9.1,0.5,5.6,12.7,16.4,,2.7,1.8,4.5,.152,,0.5,1.1,1.6,1.3
8,Derek Anderson\anderde01,SG,30,POR,47,1239,11.7,.503,.386,.223,2.4,9.2,6.0,18.9,1.6,0.2,14.0,18.5,,0.7,0.6,1.3,.052,,-0.6,-0.6,-1.2,0.2
9,Kenny Anderson\anderke01,PG,34,TOT,43,743,10.1,.467,.065,.184,3.6,10.5,6.9,22.2,2.3,0.0,18.4,16.1,,-0.1,0.3,0.2,.011,,-3.6,-0.4,-3.9,-0.4
9,Kenny Anderson\anderke01,PG,34,ATL,39,717,10.4,.473,.068,.195,3.6,10.3,6.7,21.8,2.4,0.0,18.2,15.8,,0.0,0.3,0.2,.016,,-3.4,-0.3,-3.7,-0.3
9,Kenny Anderson\anderke01,PG,34,LAC,4,26,2.9,.364,.000,.000,4.8,17.9,11.5,33.4,0.0,0.0,21.4,24.9,,-0.1,0.0,-0.1,-0.125,,-8.5,-3.1,-11.6,-0.1
