Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Jeff Adrien\adrieje01,PF,25,HOU,8,63,11.2,.493,.000,.750,9.1,31.6,20.3,2.4,0.0,2.4,8.6,16.8,,0.1,0.1,0.1,.106,,-4.0,-0.2,-4.3,0.0
2,Arron Afflalo\afflaar01,SG,26,DEN,62,2086,14.7,.584,.316,.353,2.3,8.5,5.5,11.1,0.9,0.5,9.5,19.1,,4.7,0.6,5.3,.121,,1.4,-1.2,0.1,1.1
3,Blake Ahearn\ahearbl01,PG,27,UTA,4,30,-7.3,.357,.643,.000,0.0,7.7,3.8,5.2,0.0,0.0,26.3,28.4,,-0.2,0.0,-0.2,-0.315,,-12.7,-6.8,-19.5,-0.1
4,Solomon Alabi\alabiso01,C,23,TOR,14,122,14.2,.418,.000,.222,14.6,30.4,22.6,4.1,0.9,6.0,11.2,17.2,,0.0,0.2,0.2,.083,,-2.9,0.7,-2.2,0.0
5,Cole Aldrich\aldrico01,C,23,OKC,26,173,17.7,.592,.000,.333,9.2,21.6,15.8,2.7,2.4,6.7,15.7,14.9,,0.3,0.4,0.6,.176,,-1.3,2.2,1.0,0.1
6,LaMarcus Aldridge\aldrila01,PF,26,POR,55,1994,22.7,.560,.012,.291,8.6,17.5,12.9,13.2,1.3,1.7,9.5,27.0,,5.4,1.6,7.0,.169,,3.4,-0.4,3.0,2.5
7,Lavoy Allen\allenla01,PF,22,PHI,41,624,12.7,.488,.000,.084,8.3,22.2,15.2,8.4,1.1,2.2,10.4,14.5,,0.4,1.2,1.6,.124,,-2.8,1.0,-1.7,0.0
8,Ray Allen*\allenra02,SG,36,BOS,46,1565,14.8,.607,.475,.215,1.1,9.2,5.3,11.8,1.7,0.4,11.2,18.6,,2.5,2.2,4.7,.145,,1.5,0.7,2.2,1.6
9,Tony Allen\allento01,SG,30,MEM,58,1525,15.7,.541,.058,.391,7.4,10.6,8.9,8.3,3.6,1.8,15.2,18.4,,1.7,2.5,4.2,.131,,-0.6,2.3,1.7,1.4
10,Morris Almond\almonmo01,SG,26,WAS,4,67,8.7,.382,.176,.176,1.7,11.9,6.7,4.4,5.4,0.0,5.2,12.9,,-0.1,0.1,0.0,.032,,-6.0,4.2,-1.8,0.0
11,Al-Farouq Aminu\aminual01,SF,21,NOH,66,1477,10.6,.481,.129,.312,7.8,16.9,12.4,7.2,2.2,1.9,18.0,16.2,,-0.4,1.8,1.4,.044,,-2.9,0.7,-2.2,-0.1
12,Lou Amundson\amundlo01,PF,29,IND,60,753,11.5,.438,.000,.396,14.1,19.0,16.6,3.0,1.9,4.6,15.6,17.3,,-0.3,1.3,1.0,.062,,-4.0,0.1,-4.0,-0.4
13,Chris Andersen\anderch01,C,33,DEN,32,486,18.9,.583,.000,.759,11.9,23.3,17.8,1.8,2.0,7.4,10.6,14.8,,1.0,0.8,1.9,.183,,0.5,1.8,2.3,0.5
14,Alan Anderson\anderal01,SF,29,TOR,17,461,8.7,.519,.430,.239,2.1,6.5,4.3,9.5,0.6,0.5,13.7,18.6,,0.1,0.2,0.3,.032,,-1.7,-1.3,-3.0,-0.1
15,James Anderson\anderja01,SG,22,SAS,51,603,8.8,.483,.391,.299,3.1,11.8,7.5,9.6,0.7,0.2,13.2,17.2,,0.1,0.4,0.5,.040,,-2.7,-1.4,-4.1,-0.3
16,Ryan Anderson\anderry01,PF,23,ORL,61,1964,21.2,.589,.557,.226,13.0,14.7,13.8,5.1,1.4,1.0,6.4,21.2,,7.0,1.9,8.9,.219,,5.2,-1.1,4.0,3.0
17,Carmelo Anthony\anthoca01,SF,27,NYK,55,1876,21.1,.525,.198,.358,5.4,15.9,10.6,21.0,1.7,1.0,10.8,31.8,,3.7,2.6,6.2,.160,,3.8,-0.2,3.6,2.7
18,Joel Anthony\anthojo01,C,29,MIA,64,1349,10.3,.598,.000,.467,9.2,12.8,11.1,1.0,1.4,5.1,19.7,7.8,,1.2,2.2,3.4,.122,,-2.0,1.6,-0.5,0.5
19,Gilbert Arenas\arenagi01,PG,30,MEM,17,211,9.9,.526,.609,.156,1.1,9.0,5.0,13.4,2.8,0.4,14.9,17.3,,0.1,0.3,0.4,.088,,-3.3,2.0,-1.3,0.0
20,Trevor Ariza\arizatr01,SF,26,NOH,41,1350,14.2,.496,.216,.253,3.7,15.1,9.5,16.8,2.8,1.5,14.5,18.4,,0.5,1.7,2.2,.078,,-0.4,1.7,1.3,1.1
21,Ömer Aşık\asikom01,C,25,CHI,66,971,13.4,.509,.000,.660,14.9,25.1,20.1,4.8,1.7,5.0,25.2,12.6,,0.1,2.5,2.6,.129,,-3.2,2.5,-0.7,0.3
22,D.J. Augustin\augusdj01,PG,24,CHA,48,1408,14.1,.493,.368,.246,1.9,7.2,4.4,38.9,1.3,0.1,16.9,21.3,,0.7,-0.2,0.5,.018,,0.7,-3.2,-2.5,-0.2
23,Gustavo Ayón\ayongu01,PF,26,NOH,54,1088,16.7,.552,.004,.241,9.6,19.3,14.5,11.5,2.6,3.5,13.7,14.5,,1.5,1.7,3.2,.142,,0.0,2.5,2.5,1.2
24,Jeff Ayres\pendeje02,C,24,IND,20,106,13.4,.435,.000,.194,12.8,22.1,17.5,6.3,1.5,1.5,4.9,17.6,,0.1,0.2,0.3,.115,,-1.9,-1.0,-2.8,0.0
25,Kelenna Azubuike\azubuke01,SG,28,DAL,3,18,-3.4,.438,.375,.000,0.0,0.0,0.0,0.0,2.9,0.0,33.3,30.9,,-0.1,0.0,-0.1,-0.325,,-10.3,-3.7,-14.0,-0.1
26,Luke Babbitt\babbilu01,SF,22,POR,40,537,11.3,.556,.578,.116,3.4,17.5,10.3,4.8,1.0,0.6,12.9,17.8,,0.4,0.3,0.7,.064,,-0.6,-1.8,-2.3,0.0
27,Renaldo Balkman\balkmre01,SF,27,NYK,14,115,14.3,.570,.281,.344,6.0,20.3,13.1,7.2,1.8,2.1,14.0,16.7,,0.1,0.2,0.3,.142,,-1.3,0.8,-0.5,0.0
28,Leandro Barbosa\barbole01,SG,29,TOT,64,1382,14.0,.512,.267,.195,2.8,7.9,5.3,13.3,2.2,0.4,12.0,26.5,,0.5,1.2,1.7,.060,,-0.6,-0.6,-1.2,0.3
28,Leandro Barbosa\barbole01,SG,29,TOR,42,946,14.2,.518,.244,.200,2.6,7.1,4.9,13.3,2.0,0.6,12.1,28.0,,0.2,0.8,1.0,.052,,-0.5,-0.6,-1.1,0.2
28,Leandro Barbosa\barbole01,SG,29,IND,22,436,13.4,.496,.322,.180,3.1,9.5,6.3,13.3,2.4,0.0,11.6,23.2,,0.2,0.5,0.7,.076,,-0.7,-0.7,-1.4,0.1
29,J.J. Barea\bareajo01,PG,27,MIN,41,1032,14.9,.502,.342,.234,1.5,10.8,6.1,39.0,1.0,0.0,18.3,24.3,,0.8,0.4,1.2,.056,,1.1,-2.1,-1.0,0.3
30,Andrea Bargnani\bargnan01,C,26,TOR,31,1032,17.9,.538,.238,.357,2.8,16.6,9.8,11.6,0.9,1.2,11.0,28.7,,1.3,0.9,2.2,.104,,2.4,-1.3,1.1,0.8
31,Matt Barnes\barnema02,SF,31,LAL,63,1440,15.5,.554,.357,.331,7.9,18.3,13.3,13.8,1.3,2.4,14.1,16.4,,2.4,1.8,4.3,.142,,0.4,1.3,1.6,1.3
32,Earl Barron\barroea01,C,30,GSW,2,9,4.7,.500,.000,.000,12.6,0.0,6.3,0.0,0.0,0.0,0.0,20.5,,0.0,0.0,0.0,.054,,-11.5,-4.8,-16.3,0.0
33,Brandon Bass\bassbr01,PF,26,BOS,59,1868,14.1,.524,.000,.258,6.3,16.3,11.5,5.1,1.0,2.2,8.5,19.8,,1.5,3.2,4.7,.122,,-1.3,0.3,-1.0,0.5
34,Tony Battie\battito01,C,35,PHI,27,295,7.3,.398,.020,.078,3.0,22.3,12.6,7.6,0.7,1.5,7.0,9.0,,0.0,0.5,0.5,.076,,-4.4,1.5,-2.9,-0.1
35,Shane Battier\battish01,SF,33,MIA,65,1499,9.7,.504,.627,.127,4.6,7.7,6.2,8.0,2.2,1.8,10.7,10.7,,1.2,2.1,3.3,.104,,-0.7,1.6,0.9,1.1
36,Nicolas Batum\batumni01,SF,23,POR,59,1791,17.3,.575,.427,.248,5.2,12.6,8.8,7.9,1.7,2.6,11.2,20.5,,3.3,1.4,4.8,.127,,2.6,0.0,2.5,2.0
37,Jerryd Bayless\bayleje01,PG,23,TOR,31,705,17.7,.561,.377,.319,1.3,9.5,5.5,30.7,1.8,0.5,14.4,24.6,,1.5,0.6,2.0,.139,,2.4,-0.7,1.7,0.6
38,Michael Beasley\beaslmi01,SF,23,MIN,47,1087,13.0,.502,.203,.191,4.0,17.2,10.6,7.7,0.9,1.2,12.9,25.3,,-0.3,0.8,0.5,.022,,-1.2,-0.9,-2.1,0.0
39,Rodrigue Beaubois\beaubro01,PG,23,DAL,53,1151,15.3,.496,.297,.155,1.9,12.8,7.4,22.7,2.6,1.9,12.8,22.0,,0.5,1.7,2.2,.092,,-0.4,1.7,1.3,1.0
40,Marco Belinelli\belinma01,SG,25,NOH,66,1966,11.9,.525,.414,.188,1.2,9.1,5.2,8.9,1.3,0.2,8.5,19.5,,1.9,1.0,2.9,.071,,-0.4,-0.8,-1.2,0.4
