Seed,Team,Record
1,Dallas Mavericks,67-15
2,Phoenix Suns,61-21
3,San Antonio Spurs,58-24
4,Detroit Pistons,53-29
5,Houston Rockets,52-30
6,Utah Jazz,51-31
7,Cleveland Cavaliers,50-32
8,Chicago Bulls,49-33
9,Toronto Raptors,47-35
10,Denver Nuggets,45-37
11,Miami Heat,44-38
12,Golden State Warriors,42-40
13,Los Angeles Lakers,42-40
14,New Jersey Nets,41-41
15,Washington Wizards,41-41
16,Orlando Magic,40-42
17,Los Angeles Clippers,40-42
18,New Orleans/Oklahoma City Hornets,39-43
19,Indiana Pacers,35-47
20,Philadelphia 76ers,35-47
21,Charlotte Bobcats,33-49
22,New York Knicks,33-49
23,Sacramento Kings,33-49
24,Minnesota Timberwolves,32-50
25,Portland Trail Blazers,32-50
26,Seattle SuperSonics,31-51
27,Atlanta Hawks,30-52
28,Milwaukee Bucks,28-54
29,Boston Celtics,24-58
30,Memphis Grizzlies,22-60
