Seed,Team,Record
1,Milwaukee Bucks,56-17
2,Toronto Raptors,53-19
3,Los Angeles Lakers,52-19
4,Los Angeles Clippers,49-23
5,Boston Celtics,48-24
6,Denver Nuggets,46-27
7,Indiana Pacers,45-28
8,Houston Rockets,44-28
9,Miami Heat,44-29
10,Oklahoma City Thunder,44-28
11,Utah Jazz,44-28
12,Dallas Mavericks,43-32
13,Philadelphia 76ers,43-30
14,Brooklyn Nets,35-37
15,Portland Trail Blazers,35-39
16,Memphis Grizzlies,34-39
17,Phoenix Suns,34-39
18,Orlando Magic,33-40
19,San Antonio Spurs,32-39
20,Sacramento Kings,31-41
21,New Orleans Pelicans,30-42
22,Washington Wizards,25-47
23,Charlotte Hornets,23-42
24,Chicago Bulls,22-43
25,New York Knicks,21-45
26,Atlanta Hawks,20-47
27,Detroit Pistons,20-46
28,Cleveland Cavaliers,19-46
29,Minnesota Timberwolves,19-45
30,Golden State Warriors,15-50
