Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Quincy Acy\acyqu01,PF,22,TOR,29,342,15.9,.632,.027,.507,10.3,16.6,13.4,5.2,2.0,3.5,15.6,14.7,,0.7,0.4,1.1,.157,,-1.0,1.0,0.1,0.2
2,Jeff Adrien\adrieje01,PF,26,CHA,52,713,13.4,.493,.012,.595,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,,0.5,0.4,1.0,.064,,-2.1,-0.9,-3.0,-0.2
3,Arron Afflalo\afflaar01,SF,27,ORL,64,2307,13.0,.527,.265,.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,,1.5,0.5,2.0,.042,,-1.1,-1.8,-2.9,-0.5
4,Josh Akognon\akognjo01,PG,26,DAL,3,9,15.3,.625,.500,.000,0.0,12.1,6.2,19.4,0.0,0.0,0.0,20.3,,0.0,0.0,0.0,.196,,-3.1,0.1,-3.0,0.0
5,Cole Aldrich\aldrico01,C,24,TOT,45,388,11.1,.563,.000,.250,8.7,26.7,17.7,3.4,0.7,4.6,20.6,12.7,,0.1,0.4,0.6,.070,,-3.5,0.6,-2.9,-0.1
5,Cole Aldrich\aldrico01,C,24,HOU,30,213,7.3,.532,.000,.209,6.5,23.7,15.2,4.1,0.7,3.2,23.0,12.5,,-0.1,0.3,0.2,.038,,-5.6,0.6,-5.0,-0.2
5,Cole Aldrich\aldrico01,C,24,SAC,15,175,15.7,.598,.000,.297,11.5,30.4,20.7,2.6,0.6,6.3,17.7,12.9,,0.2,0.2,0.4,.109,,-1.0,0.5,-0.5,0.1
6,LaMarcus Aldridge\aldrila01,PF,27,POR,74,2790,20.4,.530,.011,.264,7.2,20.9,14.0,13.0,1.2,2.5,8.9,26.5,,4.8,2.3,7.2,.124,,1.7,-0.4,1.3,2.3
7,Lavoy Allen\allenla01,C,23,PHI,79,1669,11.5,.474,.002,.132,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,,0.9,1.6,2.5,.072,,-3.0,-0.3,-3.3,-0.6
8,Ray Allen*\allenra02,SG,37,MIA,79,2035,14.7,.599,.510,.243,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,,3.4,1.9,5.4,.126,,1.1,-0.8,0.3,1.2
9,Tony Allen\allento01,SG,31,MEM,79,2109,13.2,.489,.038,.293,6.6,13.8,10.2,7.6,3.1,1.7,11.5,17.8,,1.0,4.1,5.1,.115,,-2.0,2.4,0.4,1.2
10,Al-Farouq Aminu\aminual01,SF,22,NOH,76,2066,13.7,.519,.040,.289,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,,0.7,2.4,3.1,.073,,-1.3,1.2,-0.1,1.0
11,Lou Amundson\amundlo01,PF,30,TOT,39,372,9.3,.392,.000,.444,14.7,18.7,16.7,4.5,2.3,2.6,16.4,14.2,,-0.3,0.4,0.1,.019,,-4.2,0.0,-4.2,-0.2
11,Lou Amundson\amundlo01,PF,30,MIN,20,161,6.3,.342,.000,.526,15.9,17.6,16.7,2.8,2.2,2.9,19.0,16.1,,-0.4,0.2,-0.1,-0.038,,-6.9,-1.0,-7.9,-0.2
11,Lou Amundson\amundlo01,PF,30,CHI,1,2,0.0,.000,.000,.000,56.7,0.0,28.7,0.0,0.0,0.0,0.0,23.0,,0.0,0.0,0.0,-0.274,,-4.7,-18.2,-22.8,0.0
11,Lou Amundson\amundlo01,PF,30,NOH,18,209,11.7,.449,.000,.381,13.4,19.7,16.5,5.8,2.3,2.4,14.0,12.7,,0.1,0.2,0.3,.065,,-2.1,1.0,-1.1,0.0
12,Chris Andersen\anderch01,C,34,MIA,42,624,17.4,.631,.024,.756,11.9,21.5,17.0,4.0,1.4,5.8,12.8,14.4,,1.6,1.1,2.7,.207,,-1.0,0.8,-0.2,0.3
13,Alan Anderson\anderal01,SF,30,TOR,65,1495,12.6,.509,.463,.239,2.7,9.2,5.9,11.7,1.7,0.4,10.5,23.6,,0.8,0.8,1.6,.052,,-0.5,-1.3,-1.8,0.1
14,James Anderson\anderja01,SG-SF,23,TOT,39,401,13.9,.539,.476,.222,5.2,15.0,10.2,15.8,1.9,0.9,15.3,18.0,,0.4,0.4,0.9,.106,,0.5,0.5,1.0,0.3
14,James Anderson\anderja01,SF,23,SAS,10,94,13.0,.587,.440,.360,3.9,12.8,8.6,13.9,1.6,1.5,19.5,17.6,,0.1,0.1,0.2,.109,,-0.4,0.8,0.4,0.1
14,James Anderson\anderja01,SG,23,HOU,29,307,14.2,.526,.485,.188,5.6,15.7,10.7,16.4,2.0,0.7,14.1,18.1,,0.4,0.3,0.7,.105,,0.7,0.4,1.2,0.2
15,Ryan Anderson\anderry01,PF,24,NOH,81,2503,18.1,.548,.500,.161,8.9,15.9,12.4,6.9,0.9,1.0,7.5,24.0,,5.7,0.8,6.5,.125,,4.1,-2.1,2.0,2.5
16,Carmelo Anthony\anthoca01,PF,28,NYK,67,2482,24.8,.560,.278,.344,6.1,15.9,10.8,14.1,1.1,1.1,9.3,35.6,,7.5,2.0,9.5,.184,,6.0,-1.7,4.3,3.9
17,Joel Anthony\anthojo01,C,30,MIA,62,566,10.4,.542,.000,.412,10.4,14.4,12.5,3.1,1.2,6.1,21.5,8.6,,0.4,0.8,1.2,.100,,-2.3,0.9,-1.3,0.1
18,Trevor Ariza\arizatr01,SF,27,WAS,56,1471,14.0,.538,.463,.211,3.3,16.9,10.0,12.7,2.5,1.1,14.6,17.9,,0.7,2.4,3.1,.102,,0.1,2.0,2.1,1.6
19,Darrell Arthur\arthuda01,PF,24,MEM,59,970,11.8,.477,.050,.128,8.1,12.5,10.3,5.9,1.3,2.8,10.2,20.1,,0.2,1.5,1.7,.084,,-2.8,0.4,-2.4,-0.1
20,Ömer Aşık\asikom01,C,26,HOU,82,2464,14.9,.558,.002,.487,12.8,31.0,22.0,4.6,0.9,2.7,18.8,16.3,,2.0,3.5,5.5,.108,,-1.3,-0.3,-1.6,0.3
21,D.J. Augustin\augusdj01,PG,25,IND,76,1226,11.0,.527,.646,.337,1.9,6.3,4.1,21.6,1.5,0.2,16.8,15.1,,1.4,1.5,2.8,.112,,-0.7,0.1,-0.6,0.5
22,Gustavo Ayón\ayongu01,C,27,TOT,55,734,12.8,.540,.000,.299,9.0,21.3,15.1,14.7,1.5,1.8,19.9,14.5,,0.4,0.8,1.2,.077,,-3.0,1.3,-1.7,0.1
22,Gustavo Ayón\ayongu01,C,27,ORL,43,571,11.7,.540,.000,.304,7.9,19.8,13.8,15.5,1.2,1.8,21.1,14.3,,0.3,0.5,0.7,.061,,-3.3,1.3,-2.0,0.0
22,Gustavo Ayón\ayongu01,C,27,MIL,12,163,16.6,.539,.000,.286,12.7,26.7,19.4,11.6,2.8,1.8,16.0,15.0,,0.1,0.3,0.4,.132,,-1.8,1.4,-0.5,0.1
23,Jeff Ayres\pendeje02,PF,25,IND,37,369,14.5,.533,.032,.183,8.9,22.2,15.7,7.2,0.9,2.4,14.5,19.7,,0.3,0.7,1.0,.129,,-1.9,0.9,-1.0,0.1
24,Luke Babbitt\babbilu01,PF,23,POR,62,730,9.4,.509,.761,.056,2.4,19.7,10.9,6.2,1.0,0.5,8.4,16.4,,0.3,0.4,0.7,.047,,-1.7,-0.7,-2.4,-0.1
25,Leandro Barbosa\barbole01,PG,30,BOS,41,513,13.5,.509,.244,.212,1.9,8.5,5.3,19.0,1.7,0.9,9.1,21.4,,0.4,0.5,0.9,.086,,-1.0,0.3,-0.7,0.2
26,J.J. Barea\bareajo01,PG,28,MIN,74,1713,14.1,.510,.369,.177,2.2,11.9,6.9,30.6,1.0,0.0,15.1,25.1,,0.8,1.0,1.9,.053,,0.7,-1.3,-0.6,0.6
27,Andrea Bargnani\bargnan01,PF,27,TOR,35,1003,11.2,.482,.289,.181,3.0,12.3,7.6,6.6,1.1,1.8,10.5,23.8,,-0.5,0.6,0.1,.007,,-1.1,-1.6,-2.7,-0.2
28,Harrison Barnes\barneha02,SF,20,GSW,81,2058,11.0,.526,.231,.303,2.9,14.5,8.9,7.3,1.3,0.5,12.4,17.7,,0.9,1.9,2.8,.065,,-1.6,-0.1,-1.7,0.1
29,Matt Barnes\barnema02,SF,32,LAC,80,2058,15.5,.566,.481,.173,6.5,14.5,10.6,9.2,2.1,2.6,11.0,18.1,,3.5,2.8,6.3,.146,,1.1,0.7,1.8,2.0
30,Earl Barron\barroea01,C,31,TOT,12,159,8.9,.361,.000,.137,15.4,28.1,21.6,5.0,1.6,3.0,16.9,18.8,,-0.3,0.3,0.0,-0.003,,-6.7,-1.2,-7.9,-0.2
30,Earl Barron\barroea01,C,31,WAS,11,122,6.9,.357,.000,.135,14.4,24.7,19.5,3.9,2.1,3.2,20.3,18.4,,-0.3,0.3,-0.1,-0.025,,-8.3,-0.5,-8.9,-0.2
30,Earl Barron\barroea01,C,31,NYK,1,37,15.4,.370,.000,.143,18.4,39.3,28.5,8.7,0.0,2.3,6.3,20.1,,0.0,0.1,0.1,.069,,-1.3,-3.6,-4.9,0.0
31,Will Barton\bartowi01,SG,22,POR,73,894,9.1,.437,.210,.210,4.6,14.3,9.4,10.4,2.0,0.8,15.1,20.4,,-1.1,0.6,-0.5,-0.028,,-4.0,-0.6,-4.6,-0.6
32,Brandon Bass\bassbr01,PF,27,BOS,81,2239,12.3,.535,.003,.255,7.0,15.2,11.2,6.0,1.0,2.3,10.9,15.5,,2.0,2.7,4.7,.101,,-1.9,0.0,-1.9,0.1
33,Shane Battier\battish01,SF,34,MIA,72,1786,10.7,.623,.873,.105,2.7,8.4,5.7,5.7,1.2,2.5,8.2,11.0,,2.8,1.6,4.4,.119,,0.9,0.1,1.0,1.4
34,Nicolas Batum\batumni01,SF,24,POR,73,2807,15.7,.566,.533,.252,4.0,13.2,8.5,20.3,1.7,2.2,17.0,18.2,,3.8,1.9,5.8,.099,,2.3,0.5,2.8,3.4
35,Jerryd Bayless\bayleje01,PG,24,MEM,80,1765,13.5,.514,.324,.196,1.4,10.5,5.9,24.9,1.8,0.8,15.1,20.8,,1.5,2.5,4.0,.108,,-0.6,0.7,0.1,1.0
36,Aron Baynes\baynear01,C,26,SAS,16,141,8.8,.521,.028,.333,10.4,15.5,13.1,5.2,0.4,3.1,21.0,17.1,,0.0,0.2,0.1,.050,,-6.4,-0.6,-7.0,-0.2
37,Kent Bazemore\bazemke01,SG,23,GSW,61,267,11.3,.454,.293,.379,2.1,6.8,4.5,13.1,3.2,1.2,11.7,25.7,,-0.3,0.3,0.1,.014,,-3.1,0.7,-2.4,0.0
38,Bradley Beal\bealbr01,SG,19,WAS,56,1745,13.6,.515,.344,.231,2.7,10.8,6.7,13.7,1.5,1.3,10.6,22.2,,1.0,2.0,3.0,.082,,0.0,0.2,0.2,1.0
39,Michael Beasley\beaslmi01,SF,24,PHO,75,1554,10.8,.462,.188,.164,3.7,17.2,10.3,12.5,1.0,1.6,14.9,27.6,,-2.5,1.0,-1.5,-0.047,,-2.7,-2.0,-4.7,-1.1
40,Rodrigue Beaubois\beaubro01,PG,24,DAL,45,549,10.6,.470,.409,.216,1.9,9.6,5.8,22.6,1.8,0.6,14.6,18.7,,0.0,0.4,0.4,.032,,-2.3,-0.3,-2.6,-0.1
41,Marco Belinelli\belinma01,SG,26,CHI,73,1882,10.4,.513,.362,.275,0.8,7.8,4.3,12.9,1.3,0.2,10.7,18.7,,1.3,1.6,3.0,.076,,-1.9,-0.4,-2.3,-0.1
42,Patrick Beverley\beverpa01,PG,24,HOU,41,713,15.4,.551,.508,.217,7.2,10.1,8.7,24.2,2.6,2.2,17.5,15.4,,1.4,0.8,2.2,.148,,1.7,2.1,3.8,1.0
43,Andris Biedriņš\biedran01,C,26,GSW,53,495,7.7,.449,.000,.619,7.8,25.7,17.0,3.7,1.5,6.6,34.4,3.7,,0.1,1.0,1.1,.102,,-4.8,3.8,-1.0,0.1
44,Chauncey Billups\billuch01,SG,36,LAC,22,418,15.0,.601,.682,.364,0.6,8.4,4.6,17.4,1.5,0.2,14.5,19.6,,1.0,0.3,1.3,.146,,1.6,-1.1,0.5,0.3
45,Bismack Biyombo\biyombi01,C,20,CHA,80,2186,10.1,.472,.000,.410,9.9,20.9,15.2,2.5,0.7,5.3,16.7,10.2,,0.1,1.3,1.4,.031,,-3.6,-0.8,-4.4,-1.3
46,DeJuan Blair\blairde01,PF,23,SAS,61,851,14.6,.543,.004,.258,9.5,21.1,15.6,8.3,2.2,0.9,14.0,19.0,,0.7,1.5,2.2,.126,,-2.4,0.8,-1.6,0.1
47,Steve Blake\blakest01,PG,32,LAL,45,1175,11.7,.573,.633,.130,2.0,10.1,6.2,21.9,1.5,0.4,17.8,13.2,,1.6,0.8,2.4,.097,,0.1,0.4,0.5,0.7
48,Andray Blatche\blatcan01,C,26,BRK,82,1555,21.9,.547,.033,.320,12.2,19.6,15.8,10.5,3.0,2.7,13.8,26.5,,2.4,2.5,4.9,.153,,1.3,0.9,2.2,1.6
49,Eric Bledsoe\bledser01,PG,23,LAC,76,1553,17.5,.513,.137,.236,6.1,11.1,8.6,23.5,3.7,3.0,17.9,22.5,,1.1,2.6,3.7,.115,,1.3,2.2,3.5,2.2
50,Keith Bogans\boganke01,SG,32,BRK,74,1408,6.7,.533,.863,.060,1.3,8.8,5.0,8.1,1.1,0.2,14.4,11.2,,0.7,0.7,1.4,.047,,-2.3,-0.3,-2.6,-0.2
51,Andrew Bogut\bogutan01,C,28,GSW,32,786,13.8,.463,.005,.207,9.8,24.1,17.2,12.5,1.3,5.5,14.8,13.4,,0.4,1.4,1.7,.106,,-1.4,2.8,1.4,0.7
52,Matt Bonner\bonnema01,PF,32,SAS,68,909,11.8,.609,.522,.065,3.4,12.5,8.2,5.8,1.0,1.5,6.3,12.8,,1.4,1.1,2.5,.133,,-0.2,0.4,0.2,0.5
53,Trevor Booker\booketr01,PF,25,WAS,48,887,13.9,.509,.023,.327,12.2,17.8,14.9,7.4,1.9,1.4,11.0,14.5,,0.9,1.4,2.3,.126,,-1.5,0.6,-1.0,0.2
54,Carlos Boozer\boozeca01,PF,31,CHI,79,2546,17.1,.510,.002,.232,7.8,27.2,17.4,13.4,1.4,0.8,12.3,25.8,,1.4,4.3,5.7,.108,,-0.3,0.2,-0.1,1.2
55,Chris Bosh*\boshch01,C,28,MIA,74,2454,20.0,.592,.082,.333,7.0,17.6,12.6,8.4,1.4,3.4,11.0,22.7,,5.6,3.4,9.0,.175,,1.5,-0.2,1.3,2.1
56,Avery Bradley\bradlav01,PG,22,BOS,50,1435,8.8,.461,.264,.103,2.5,6.5,4.6,11.6,2.3,1.0,12.6,18.8,,-1.3,1.6,0.4,.012,,-4.0,0.3,-3.7,-0.6
57,Elton Brand\brandel01,C,33,DAL,72,1527,15.2,.499,.002,.195,9.7,21.5,15.7,7.1,1.7,4.6,9.9,17.2,,1.2,2.2,3.4,.107,,-1.7,0.9,-0.9,0.4
58,Corey Brewer\breweco01,SF,26,DEN,82,2003,14.7,.506,.348,.245,3.1,9.9,6.6,9.5,3.0,0.9,9.4,23.4,,1.7,2.2,3.9,.093,,-0.2,0.6,0.4,1.2
59,Ronnie Brewer\brewero02,SF,27,TOT,60,853,10.0,.416,.384,.197,5.7,13.5,9.6,8.6,2.7,0.6,7.7,12.7,,0.1,1.0,1.1,.060,,-1.7,0.9,-0.7,0.3
59,Ronnie Brewer\brewero02,SF,27,NYK,46,711,10.2,.432,.406,.223,4.6,12.1,8.2,8.4,2.6,0.7,6.8,13.6,,0.1,0.7,0.8,.057,,-1.6,0.8,-0.8,0.2
59,Ronnie Brewer\brewero02,SF,27,OKC,14,142,9.1,.283,.217,.000,11.3,20.3,16.2,9.4,3.3,0.0,14.8,8.6,,0.0,0.3,0.2,.072,,-2.2,1.7,-0.6,0.1
60,Aaron Brooks\brookaa01,PG,28,TOT,53,997,11.8,.555,.424,.165,1.5,7.9,4.6,18.0,1.5,0.8,16.5,18.1,,0.8,0.0,0.8,.041,,-0.8,-1.4,-2.2,0.0
60,Aaron Brooks\brookaa01,PG,28,SAC,46,959,12.1,.562,.419,.172,1.4,8.1,4.7,17.8,1.5,0.6,16.2,18.0,,0.9,0.0,0.9,.045,,-0.7,-1.4,-2.1,0.0
60,Aaron Brooks\brookaa01,PG,28,HOU,7,38,5.6,.385,.538,.000,3.0,3.0,3.0,23.1,1.3,6.0,23.5,19.6,,-0.1,0.0,0.0,-0.063,,-4.1,0.1,-4.0,0.0
61,MarShon Brooks\brookma01,SG,24,BRK,73,912,13.5,.523,.164,.281,4.1,9.4,6.7,14.6,2.0,1.3,15.5,22.5,,0.5,0.8,1.3,.068,,-1.6,-0.1,-1.7,0.1
62,Kwame Brown\brownkw01,C,30,PHI,22,269,8.8,.452,.000,.514,9.4,22.1,15.5,4.7,1.2,2.9,15.0,9.1,,0.0,0.4,0.4,.071,,-4.9,0.0,-4.9,-0.2
63,Shannon Brown\brownsh01,SG,27,PHO,59,1402,13.1,.493,.247,.219,3.5,8.7,6.0,12.8,2.2,0.8,10.6,22.2,,0.4,0.8,1.2,.041,,-1.1,-0.5,-1.6,0.2
64,Kobe Bryant*\bryanko01,SG,34,LAL,78,3013,23.0,.570,.255,.392,2.5,13.1,7.9,29.7,1.8,0.6,13.3,31.9,,8.4,2.6,10.9,.174,,4.7,-0.1,4.6,5.0
65,Chase Budinger\budinch01,SF,24,MIN,23,508,12.6,.516,.424,.220,3.3,13.0,8.0,8.3,1.4,1.1,9.9,20.5,,0.3,0.4,0.7,.066,,-0.6,-0.8,-1.4,0.1
66,Alec Burks\burksal01,SG,21,UTA,64,1137,11.5,.507,.237,.332,3.8,11.2,7.5,13.0,1.6,0.9,14.3,20.7,,0.3,0.7,1.0,.044,,-1.9,-0.7,-2.6,-0.2
67,Caron Butler\butleca01,SF,32,LAC,78,1879,12.4,.535,.458,.125,2.6,11.4,7.1,6.5,1.4,0.5,8.7,20.2,,1.9,1.6,3.6,.091,,-0.1,-1.2,-1.3,0.3
68,Jimmy Butler\butleji01,SF,23,CHI,82,2134,15.2,.574,.205,.455,7.2,10.4,8.8,8.6,2.0,1.1,9.2,14.6,,4.4,2.6,7.0,.158,,1.0,1.0,2.0,2.1
69,Will Bynum\bynumwi01,PG,30,DET,65,1219,16.6,.532,.141,.243,2.6,6.6,4.6,34.8,2.0,0.3,17.3,27.0,,1.2,0.5,1.7,.067,,0.6,-1.6,-1.0,0.3
70,José Calderón\caldejo01,PG,31,TOT,73,2160,18.8,.616,.444,.126,1.1,8.6,4.8,39.8,1.4,0.3,15.8,17.0,,6.6,0.9,7.4,.165,,4.3,-1.2,3.1,2.8
70,José Calderón\caldejo01,PG,31,TOR,45,1273,19.2,.594,.462,.131,1.3,8.7,5.0,43.7,1.2,0.4,15.1,18.1,,4.0,0.5,4.4,.167,,5.0,-1.4,3.6,1.8
70,José Calderón\caldejo01,PG,31,DET,28,887,18.2,.654,.414,.118,0.8,8.5,4.5,34.1,1.8,0.2,17.0,15.4,,2.6,0.4,3.0,.163,,3.3,-0.8,2.5,1.0
71,Marcus Camby\cambyma01,PF,38,NYK,24,250,8.6,.342,.000,.358,10.9,27.1,18.7,8.1,1.5,4.8,19.6,14.3,,-0.4,0.4,0.0,.007,,-4.8,1.2,-3.6,-0.1
72,DeMarre Carroll\carrode01,SF,26,UTA,66,1111,15.5,.535,.216,.302,9.1,10.8,9.9,8.7,2.8,1.7,8.5,16.4,,2.0,1.1,3.1,.134,,0.4,0.9,1.3,0.9
73,Matt Carroll\carroma01,SG,32,CHA,1,6,2.9,,,,0.0,0.0,0.0,23.4,0.0,0.0,,0.0,,0.0,0.0,0.0,.029,,-6.8,-3.2,-10.0,0.0
74,Vince Carter\cartevi01,SF,36,DAL,81,2093,17.8,.571,.467,.261,3.1,14.4,8.9,15.0,1.8,1.6,10.0,23.1,,3.9,2.0,6.0,.137,,2.7,0.3,3.1,2.6
75,Omri Casspi\casspom01,SF,24,CLE,43,503,12.9,.486,.475,.256,4.4,22.7,13.1,8.8,2.6,1.9,11.0,17.7,,0.1,0.6,0.7,.064,,-0.8,0.7,-0.1,0.2
76,Mario Chalmers\chalmma01,PG,26,MIA,77,2068,13.3,.576,.569,.212,1.2,8.6,5.1,19.4,3.0,0.5,17.1,16.1,,2.6,2.5,5.2,.120,,-0.5,0.9,0.4,1.3
77,Tyson Chandler\chandty01,C,30,NYK,66,2164,18.9,.671,.000,.645,14.1,24.3,19.0,4.5,1.0,3.0,14.5,13.0,,6.7,2.6,9.3,.207,,1.5,-0.3,1.3,1.8
78,Wilson Chandler\chandwi01,PF,25,DEN,43,1079,16.6,.556,.277,.244,4.8,17.6,11.3,8.3,2.1,0.9,10.6,22.7,,1.8,1.3,3.1,.137,,0.7,-0.1,0.5,0.7
79,Josh Childress\childjo01,SF,29,BRK,14,100,7.0,.320,.143,.095,7.0,10.7,8.9,7.3,1.1,1.5,0.0,10.1,,0.0,0.1,0.1,.029,,-2.7,-0.6,-3.3,0.0
80,Earl Clark\clarkea01,PF,25,LAL,59,1363,12.4,.510,.269,.197,6.8,19.1,13.1,7.4,1.3,2.3,12.9,15.7,,0.7,1.5,2.3,.080,,-1.2,0.5,-0.7,0.4
81,Victor Claver\clavevi01,SF,24,POR,49,812,7.0,.462,.460,.159,4.4,12.8,8.5,7.9,1.7,1.1,17.5,13.9,,-0.6,0.5,-0.1,-0.005,,-3.6,0.0,-3.7,-0.3
82,Norris Cole\coleno01,PG,24,MIA,80,1590,7.9,.483,.231,.188,1.5,8.2,5.0,15.2,1.9,0.4,18.4,17.0,,-0.8,1.4,0.6,.019,,-4.3,-0.6,-4.9,-1.2
83,Jason Collins\collija04,C,34,TOT,38,384,3.0,.476,.000,1.103,6.9,11.3,9.2,2.9,1.6,2.1,29.5,7.5,,-0.1,0.5,0.4,.045,,-7.9,1.2,-6.7,-0.4
83,Jason Collins\collija04,C,34,BOS,32,330,3.0,.511,.000,1.304,7.8,10.8,9.3,2.5,1.6,1.4,30.7,7.5,,-0.1,0.4,0.3,.049,,-7.7,0.8,-7.0,-0.4
83,Jason Collins\collija04,C,34,WAS,6,54,2.9,.291,.000,.333,2.0,14.5,8.2,5.2,1.9,5.9,22.5,7.5,,-0.1,0.1,0.0,.016,,-8.9,3.7,-5.2,0.0
84,Darren Collison\collida01,PG,25,DAL,81,2372,16.3,.575,.188,.380,1.5,8.7,5.1,26.8,2.2,0.3,17.0,19.6,,4.0,1.7,5.6,.114,,0.4,-0.3,0.1,1.3
85,Nick Collison\collini01,C,32,OKC,81,1583,13.6,.624,.014,.264,9.6,14.2,12.1,11.3,1.7,1.4,17.3,11.5,,3.2,2.1,5.2,.158,,-0.2,1.1,0.9,1.2
86,Mike Conley\conlemi01,PG,25,MEM,80,2757,18.3,.549,.312,.300,1.8,7.9,4.8,29.5,3.4,0.7,15.1,21.0,,5.1,4.7,9.9,.172,,2.3,2.3,4.6,4.6
87,Will Conroy\conrowi01,PG,30,MIN,4,20,-15.2,.051,.333,.222,5.5,0.0,2.9,0.0,0.0,0.0,0.0,22.1,,-0.2,0.0,-0.2,-0.433,,-16.4,-8.5,-24.9,-0.1
88,Daequan Cook\cookda02,SG,25,TOT,49,441,5.8,.398,.545,.072,1.8,14.1,7.9,6.7,0.9,1.2,8.0,19.2,,-0.6,0.4,-0.2,-0.019,,-3.5,-1.3,-4.8,-0.3
88,Daequan Cook\cookda02,SG,25,HOU,16,165,8.8,.456,.508,.051,3.5,8.8,6.2,9.1,1.8,0.9,9.0,17.6,,0.0,0.1,0.1,.030,,-1.3,-0.2,-1.6,0.0
88,Daequan Cook\cookda02,SG,25,CHI,33,276,4.0,.366,.565,.083,0.8,17.3,8.9,5.2,0.4,1.4,7.4,20.1,,-0.6,0.3,-0.3,-0.048,,-4.8,-2.0,-6.8,-0.3
89,Chris Copeland\copelch01,PF,28,NYK,56,862,16.8,.583,.368,.218,4.5,11.9,8.1,5.7,1.0,1.2,10.7,25.3,,1.5,0.6,2.1,.117,,1.1,-1.6,-0.5,0.3
90,DeMarcus Cousins\couside01,C,22,SAC,75,2289,20.2,.524,.021,.408,10.9,27.0,18.7,15.3,2.4,1.9,15.5,28.1,,2.0,2.3,4.4,.092,,0.7,-0.5,0.2,1.2
91,Jamal Crawford\crawfja01,SG,32,LAC,76,2230,16.8,.558,.390,.244,1.2,5.6,3.4,14.4,1.9,0.5,11.5,26.0,,3.7,1.7,5.4,.116,,2.3,-1.3,1.0,1.7
92,Jordan Crawford\crawfjo02,SG,24,TOT,70,1709,13.8,.512,.339,.219,2.9,10.9,6.9,23.5,1.2,0.3,15.1,25.3,,0.2,1.7,1.9,.052,,0.3,-1.1,-0.9,0.5
92,Jordan Crawford\crawfjo02,SG,24,WAS,43,1127,14.7,.512,.337,.209,3.0,10.3,6.6,25.5,1.2,0.4,14.9,26.4,,0.2,1.1,1.4,.058,,1.3,-0.8,0.5,0.7
92,Jordan Crawford\crawfjo02,SG,24,BOS,27,582,12.0,.512,.346,.244,2.7,12.0,7.5,19.4,1.1,0.3,15.5,23.1,,0.0,0.5,0.5,.041,,-1.7,-1.8,-3.6,-0.2
